.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
24L007779_S1_L001_1	1	1	0.25	0.5	0.25	1	1	0.5	1	1	0.25
24L007779_S1_L001_2	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	0.25
24L007779_S1_L002_1	1	1	0.5	0.5	0.25	1	1	0.5	1	1	0.25
24L007779_S1_L002_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	0.25
24L007780_S2_L001_1	1	1	0.25	0.5	0.25	0.5	1	0.5	1	1	0.25
24L007780_S2_L001_2	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	0.25
24L007780_S2_L002_1	1	1	0.5	0.5	0.25	0.5	1	0.5	1	1	0.25
24L007780_S2_L002_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	0.25
24L007781_S3_L001_1	1	1	0.25	0.5	0.25	0.5	1	0.5	1	1	0.25
24L007781_S3_L001_2	1	1	1	1	0.25	0.25	1	0.5	1	0.5	0.25
24L007781_S3_L002_1	1	1	0.5	0.5	0.25	0.5	1	0.5	1	1	0.25
24L007781_S3_L002_2	1	1	0.5	1	0.25	0.25	1	0.5	1	0.5	0.25
24L007782_S4_L001_1	1	1	0.25	0.5	0.25	1	1	0.5	1	0.5	0.25
24L007782_S4_L001_2	1	1	1	1	0.25	0.25	1	0.5	0.5	0.25	0.25
24L007782_S4_L002_1	1	1	0.5	0.5	0.25	1	1	0.5	1	0.5	0.25
24L007782_S4_L002_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.25	0.25
24L007783_S5_L001_1	1	1	0.25	0.5	0.25	0.5	1	0.5	1	1	0.25
24L007783_S5_L001_2	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	0.25
24L007783_S5_L002_1	1	1	0.5	0.5	0.25	1	1	0.5	1	1	0.25
24L007783_S5_L002_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.5	0.25
24L007784_S6_L001_1	1	1	0.25	0.5	0.25	1	1	0.5	1	1	0.5
24L007784_S6_L001_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	0.25
24L007784_S6_L002_1	1	1	0.5	0.5	0.25	1	1	0.5	1	1	0.5
24L007784_S6_L002_2	1	1	0.5	1	0.25	0.5	1	0.5	1	0.5	0.25
2CLCmesc_0-0-3_S15_1	1	0.5	0.25	0.5	0.25	0.25	1	0.5	1	1	0.25
2CLCmesc_0-0-3_S15_2	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.5	0.25
2CLCmesc_0-0-4_S16_1	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	1	0.5
2CLCmesc_0-0-4_S16_2	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.5	0.25
2CLCmesc_003_RR_S3_1	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	1	0.5
2CLCmesc_003_RR_S3_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	0.25
2CLCmesc_004_RR_S4_1	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	1	1
2CLCmesc_004_RR_S4_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	0.25
2CLCmesc_011_RR_S18_1	1	0.5	0.25	0.5	0.25	0.5	1	0.5	1	1	0.5
2CLCmesc_011_RR_S18_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	0.25
2CLCmesc_016_RR_S17_1	1	0.5	0.25	0.5	0.25	0.25	1	0.5	1	1	0.25
2CLCmesc_016_RR_S17_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	0.25
2CLCmesc_1_RR_S9_1	1	0.5	0.25	1	0.25	0.5	1	0.5	1	1	1
2CLCmesc_1_RR_S9_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	0.25
2CLCmesc_1_S1_1	1	0.25	0.25	0.5	0.25	0.5	1	0.5	1	1	0.25
2CLCmesc_1_S1_2	1	0.5	0.25	1	0.25	0.25	1	0.5	1	0.5	0.25
2CLCmesc_2_RR_S10_1	1	0.5	0.25	1	0.25	0.5	1	0.5	1	1	1
2CLCmesc_2_RR_S10_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	0.25
2CLCmesc_2_S2_1	1	0.5	0.25	0.5	0.25	0.25	1	0.5	1	0.5	0.25
2CLCmesc_2_S2_2	1	0.5	0.25	1	0.25	0.25	1	0.5	1	0.5	0.25
2CLCmesc_3_RR_S11_1	1	0.5	0.25	0.5	0.25	1	1	0.5	1	1	0.5
2CLCmesc_3_RR_S11_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	0.25
