Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
24L007779_S1_L001_1 - illumina_small_rna_3'_adapter	(1, 0.04501761066278758)	(2, 0.13544082443991717)	(3, 0.2065902510290189)	(4, 0.31071903600024664)	(5, 0.45730677871049763)	(6, 0.6280024848294952)	(7, 0.844512759079338)	(8, 1.1362411375183668)	(9, 1.4813971251646871)	(10, 2.7239922367953584)	(15, 4.790760914017937)	(20, 6.770292110079121)	(25, 8.866636298392622)	(30, 10.605085763109846)	(35, 11.465606881014669)	(40, 12.100637272358536)	(45, 13.117875881843926)	(50, 14.016290230098397)	(55, 14.549238758810048)	(60, 14.887933099195617)	(65, 15.138706252802459)	(70, 15.345671912744061)	(75, 15.516814334496473)	(80, 15.677952842768264)	(85, 15.840035116462753)	(90, 15.99398003495707)	(95, 16.145450190787425)	(100, 16.299894256327526)	(105, 16.470520752982196)	(110, 16.662602183579573)	(115, 16.859259827848796)	(120, 17.059036092525922)	(125, 17.277635234244677)	(130, 17.50557975090465)	(135, 17.739748924841457)	(140, 17.88062164360314)														
24L007779_S1_L001_1 - polya	(1, 0.09300283926584278)	(2, 0.17750130344491158)	(3, 0.29647866439995185)	(4, 0.4362398372193399)	(5, 0.5648121466384963)	(6, 0.6860545446080165)	(7, 0.8163046592230839)	(8, 0.9241455881902648)	(9, 1.030717676978038)	(10, 1.4434997003020467)	(15, 1.975311515993468)	(20, 2.6707449916466275)	(25, 3.389430750058618)	(30, 3.6950157021593775)	(35, 3.8797441514856756)	(40, 4.1054467009526165)	(45, 4.2955315433668595)	(50, 4.467659675671866)	(55, 4.637623439274148)	(60, 4.814917114326066)	(65, 5.006465841773742)	(70, 5.203639411140711)	(75, 5.39287276741803)	(80, 5.580384276113045)	(85, 5.758464422350547)	(90, 5.919804267245846)	(95, 6.075324225367828)	(100, 6.234539549433803)	(105, 6.399190962334532)	(110, 6.563223684569268)	(115, 6.729129256853939)	(120, 6.908853652183433)	(125, 7.07296397290848)	(130, 7.22032350600885)	(135, 7.35740438502777)	(140, 7.438119398490059)														
24L007779_S1_L001_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 5.2431412372219406e-05)	(4, 0.0005977181010433012)	(5, 0.000618690665992189)	(6, 0.0006501495134155206)	(7, 0.0008913340103277299)	(8, 0.0009227928577510616)	(9, 0.000975224270123281)	(10, 0.0011157404552808287)	(15, 0.0011576855851786045)	(20, 0.0011765608936326034)	(25, 0.0012143115105406016)	(30, 0.0020322415435472243)	(35, 0.0071663254430349484)	(40, 0.02171499374807839)	(45, 0.037127731729016)	(50, 0.05002376191608708)	(55, 0.062252864537783545)	(60, 0.0739954036526658)	(65, 0.11905286218885627)	(70, 0.5684424976311487)	(75, 1.9317494013381336)	(80, 4.088630898376598)	(85, 6.0210073794067025)	(90, 8.261456158740504)	(95, 10.804924945481819)	(100, 13.043895158986723)	(105, 14.74060502494267)	(110, 17.214230975891198)	(115, 22.394334974646267)	(120, 27.147510955019307)	(125, 30.30561221643519)	(130, 32.54810162633852)	(135, 34.33718725186834)	(140, 35.28858459095319)														
24L007779_S1_L001_2 - illumina_small_rna_5'_adapter	(1, 0.04539511683186756)	(2, 0.13789461453893703)	(3, 0.21069038747652646)	(4, 0.316538922773563)	(5, 0.4650141963292139)	(6, 0.6378910492028957)	(7, 0.8562573954507151)	(8, 1.1510058232423837)	(9, 1.4986470598351473)	(10, 2.7495745715200117)	(15, 4.832804614970972)	(20, 6.839600145465711)	(25, 8.965402398506418)	(30, 10.741124305650805)	(35, 11.670571758260149)	(40, 12.366795899611882)	(45, 13.596989933588276)	(50, 14.776696711963215)	(55, 15.477889253951338)	(60, 15.934682204820586)	(65, 16.26819632166378)	(70, 16.541355591097062)	(75, 16.767454522041536)	(80, 16.97425240146355)	(85, 17.184252791553256)	(90, 17.384347839217604)	(95, 17.569250360832978)	(100, 17.75258832910317)	(105, 17.957676944481847)	(110, 18.19078490663224)	(115, 18.419857747286464)	(120, 18.649429734986473)	(125, 18.8987746569203)	(130, 19.149438753189404)	(135, 19.367681361304022)	(140, 19.4006397471212)														
24L007779_S1_L001_2 - polya	(1, 4.515246425540893)	(2, 4.889040450624919)	(3, 5.053045908525222)	(4, 5.250796223428284)	(5, 5.599297335183953)	(6, 6.193880037767395)	(7, 7.2718803624227)	(8, 8.765074555371136)	(9, 10.21101755948973)	(10, 14.255035617707055)	(15, 18.635025777379578)	(20, 21.19823603950728)	(25, 23.01384357067146)	(30, 24.46445087323469)	(35, 25.696020707471728)	(40, 26.77355753844166)	(45, 27.80974066584538)	(50, 28.840898766687342)	(55, 29.796893292008992)	(60, 30.72488524861088)	(65, 31.725412918345)	(70, 32.95121949173408)	(75, 34.29790144320609)	(80, 35.557576611731136)	(85, 36.84235594049999)	(90, 38.20532099139831)	(95, 39.60418687897614)	(100, 40.98794832527777)	(105, 42.32574210372443)	(110, 43.633062745300364)	(115, 44.96001790218144)	(120, 46.37604354240044)	(125, 47.85082592058025)	(130, 49.318095925995365)	(135, 50.79202681803825)	(140, 51.69797031710937)														
24L007779_S1_L001_2 - polyg	(1, 0.06898925239936629)	(2, 0.07243923933345833)	(3, 0.07298452602212942)	(4, 0.07354029899327494)	(5, 0.07419044850669046)	(6, 0.07486157058505487)	(7, 0.07560609664074038)	(8, 0.07610943819951368)	(9, 0.07660229347581254)	(10, 0.07825073708079512)	(15, 0.08027249234186791)	(20, 0.08218728752170137)	(25, 0.08524718474774409)	(30, 0.08919631872761966)	(35, 0.09467435269226912)	(40, 0.10235870048954161)	(45, 0.11164115773591934)	(50, 0.1233648215423476)	(55, 0.13720461715211862)	(60, 0.25793109002389614)	(65, 0.8264448943758712)	(70, 2.1423160506814614)	(75, 3.6764172315627035)	(80, 5.230702408950755)	(85, 7.037910427852909)	(90, 9.092112344158114)	(95, 10.840641223589774)	(100, 12.468366031659345)	(105, 15.864728214433569)	(110, 20.24085522764251)	(115, 23.77012474901083)	(120, 26.55027732022632)	(125, 28.65375637513543)	(130, 30.428805062944964)	(135, 31.961654181698755)	(140, 32.835276860927145)														
24L007779_S1_L002_1 - illumina_small_rna_3'_adapter	(1, 0.04437889697667472)	(2, 0.13184480408277585)	(3, 0.19864052163290363)	(4, 0.2979504473545775)	(5, 0.43776360951118104)	(6, 0.6080549661680672)	(7, 0.8163381312288325)	(8, 1.099540398335223)	(9, 1.4398543991847677)	(10, 2.648301892252503)	(15, 4.658732069902447)	(20, 6.586136297162914)	(25, 8.620254512044003)	(30, 10.288016354253978)	(35, 11.10856500309536)	(40, 11.707911618403497)	(45, 12.664005035258176)	(50, 13.496709822577426)	(55, 13.986795882911645)	(60, 14.30431479871886)	(65, 14.536670466536512)	(70, 14.726923025247604)	(75, 14.885831308516014)	(80, 15.038350436192676)	(85, 15.185987265096212)	(90, 15.328712856961255)	(95, 15.469547126481924)	(100, 15.608899343411428)	(105, 15.763993976706766)	(110, 15.944568752667745)	(115, 16.127183676337904)	(120, 16.315369216093398)	(125, 16.516570774212287)	(130, 16.724934553012318)	(135, 16.93842040478432)	(140, 17.069204828142876)														
24L007779_S1_L002_1 - polya	(1, 0.08991532456848396)	(2, 0.17157290840935657)	(3, 0.28472152603875456)	(4, 0.41843698227634596)	(5, 0.5418380139255067)	(6, 0.6605779178297955)	(7, 0.7832968332236091)	(8, 0.888683794674739)	(9, 0.9923654654875013)	(10, 1.3938611604037716)	(15, 1.9148615562379014)	(20, 2.6010829112308373)	(25, 3.313737304627952)	(30, 3.623139036996539)	(35, 3.8146648793842766)	(40, 4.048783714371053)	(45, 4.248406070007865)	(50, 4.427387174354083)	(55, 4.604708462478955)	(60, 4.794828731976887)	(65, 5.0005777317980895)	(70, 5.213375266257879)	(75, 5.4218589321573365)	(80, 5.620123256340323)	(85, 5.806762665917027)	(90, 5.975886156864002)	(95, 6.139695342076135)	(100, 6.307425662247036)	(105, 6.480172637423172)	(110, 6.652733580893303)	(115, 6.824713692036913)	(120, 7.01390173598587)	(125, 7.188409811312175)	(130, 7.343060035532057)	(135, 7.487127122699279)	(140, 7.571903838144148)														
24L007779_S1_L002_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 2.067018955597332e-05)	(4, 0.0006511109710131596)	(5, 0.001188535899468466)	(6, 0.0012298762785804126)	(7, 0.0012402113733583993)	(8, 0.001674285354033839)	(9, 0.0022427155668231055)	(10, 0.003313431385822524)	(15, 0.003656556532451681)	(20, 0.003844655257411038)	(25, 0.003945939186235307)	(30, 0.004917438095366053)	(35, 0.010246212962895976)	(40, 0.024831098713590755)	(45, 0.04003609015096473)	(50, 0.0526945142350428)	(55, 0.06479897723902077)	(60, 0.07665333094937146)	(65, 0.12104049600186859)	(70, 0.5569954639269019)	(75, 1.9005226457429227)	(80, 4.031840359992021)	(85, 5.930601905584775)	(90, 8.15985291093112)	(95, 10.681140622400079)	(100, 12.91406472043052)	(105, 14.634343313245353)	(110, 17.109488960568513)	(115, 22.29637537891041)	(120, 27.092613817815014)	(125, 30.29117062518022)	(130, 32.54478764997515)	(135, 34.349047155936944)	(140, 35.29353219433699)														
24L007779_S1_L002_2 - illumina_small_rna_5'_adapter	(1, 0.044905986810352044)	(2, 0.13442857777727252)	(3, 0.20341533542033347)	(4, 0.3051850136991681)	(5, 0.4485327782698431)	(6, 0.6217282965593436)	(7, 0.8336597500767381)	(8, 1.121213092084661)	(9, 1.4671493844934305)	(10, 2.6903719290557753)	(15, 4.7296225520036135)	(20, 6.701035679847702)	(25, 8.796166093241158)	(30, 10.550674519960685)	(35, 11.471345432973294)	(40, 12.157283606369313)	(45, 13.363103918344484)	(50, 14.523321658121265)	(55, 15.21019205706626)	(60, 15.653836335506117)	(65, 15.978050325710512)	(70, 16.25134743798168)	(75, 16.480459953058)	(80, 16.691835378476338)	(85, 16.902117350867165)	(90, 17.098798338530166)	(95, 17.278657925932514)	(100, 17.454003143935832)	(105, 17.656008772428446)	(110, 17.887326796730388)	(115, 18.117648517895734)	(120, 18.345266578267157)	(125, 18.577204708255778)	(130, 18.808648820714012)	(135, 19.01472647654915)	(140, 19.04535763045215)														
24L007779_S1_L002_2 - polya	(1, 4.481813850473916)	(2, 4.85955122951455)	(3, 5.025171123331787)	(4, 5.227749316075103)	(5, 5.576455413884373)	(6, 6.173482833924329)	(7, 7.2521256706184625)	(8, 8.752109651221556)	(9, 10.195457312441285)	(10, 14.22876938992969)	(15, 18.639047848388294)	(20, 21.233071889885768)	(25, 23.06112278402649)	(30, 24.52223027211271)	(35, 25.759781392075258)	(40, 26.84158883479041)	(45, 27.892066471195573)	(50, 28.926255998230637)	(55, 29.884554924310937)	(60, 30.81532115790268)	(65, 31.813879412181148)	(70, 33.045093052025834)	(75, 34.400369169585474)	(80, 35.66791066757478)	(85, 36.95117597875931)	(90, 38.30570176843806)	(95, 39.6954309579496)	(100, 41.07601358858262)	(105, 42.41739520472272)	(110, 43.72354861680259)	(115, 45.05263353717585)	(120, 46.474081132561025)	(125, 47.9503853440088)	(130, 49.418952703505774)	(135, 50.88742291311182)	(140, 51.80216148172187)														
