Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
24L007779_S1_L001_1	(1, 36.078173138590486)	(2, 35.94149891760593)	(3, 35.73493509200874)	(4, 36.0277790011774)	(5, 36.09826642875389)	(6, 36.013144555081716)	(7, 35.96555937815506)	(8, 35.92689362337552)	(9, 35.94631652550033)	(10, 35.802066573632366)	(15, 35.92206343194214)	(20, 36.26593938005937)	(25, 36.05010268167799)	(30, 35.53257811126952)	(35, 31.9827965195609)	(40, 26.921133193823835)	(45, 26.22571421021305)	(50, 25.894081961622724)	(55, 25.74020600092195)	(60, 25.748596138447454)	(65, 25.418642030614073)	(70, 24.90407928971795)	(75, 24.40907151518812)	(80, 24.182016654733278)	(85, 23.999192891810505)	(90, 24.020068039195206)	(95, 24.167877203115516)	(100, 24.319766369820982)	(105, 24.557749887062737)	(110, 24.853269685793226)	(115, 25.41367532875544)	(120, 26.319811251109975)	(125, 26.94622833586472)	(130, 27.28410894073027)	(135, 27.567901925238363)	(140, 27.74968372578641)	(145, 27.881378711497796)	(150, 28.514746187514042)																	
24L007779_S1_L001_2	(1, 34.976722235574755)	(2, 35.21243782158807)	(3, 35.18217115961926)	(4, 35.37059371653565)	(5, 35.603771622190145)	(6, 35.709752179783536)	(7, 35.75590000197142)	(8, 35.70589165489057)	(9, 35.79234287459203)	(10, 35.765638297916965)	(15, 35.61466066180187)	(20, 35.410409648722116)	(25, 35.113015364081626)	(30, 34.43636007293419)	(35, 33.53372805797823)	(40, 32.94926944167257)	(45, 32.44934297148528)	(50, 31.991224932017428)	(55, 31.590558109314877)	(60, 31.24928592610862)	(65, 30.906139970059563)	(70, 30.58932800546294)	(75, 30.307795271693287)	(80, 30.07487939726526)	(85, 30.0733209888816)	(90, 29.969273304819033)	(95, 29.839348285933237)	(100, 29.939322175089877)	(105, 29.984947172206148)	(110, 30.166304533387695)	(115, 30.367293893166597)	(120, 30.492718346422315)	(125, 30.524806014260502)	(130, 30.56495081723794)	(135, 30.51766135333518)	(140, 30.416179259968906)	(145, 30.415848843838166)	(150, 30.33763676305702)																	
24L007779_S1_L002_1	(1, 36.179456312004106)	(2, 35.95282845706337)	(3, 35.84272920914821)	(4, 36.00311169033576)	(5, 35.99720156638696)	(6, 36.022064393841525)	(7, 35.97923100693795)	(8, 35.85308187358732)	(9, 35.91402524036847)	(10, 35.77753846980654)	(15, 35.900819242292854)	(20, 36.25110481129668)	(25, 36.05508175576724)	(30, 35.54848172290164)	(35, 31.93037618711483)	(40, 26.8170419718534)	(45, 26.104253552947206)	(50, 25.765267487755494)	(55, 25.594174293105354)	(60, 25.599347111392685)	(65, 25.26673378966222)	(70, 24.718302109289493)	(75, 24.236512194895084)	(80, 24.037932402279097)	(85, 23.841355427009944)	(90, 23.86987741544084)	(95, 24.029349953543754)	(100, 24.186821803329345)	(105, 24.43713612456683)	(110, 24.743315250362503)	(115, 25.312659788316587)	(120, 26.234759734884147)	(125, 26.87872473198515)	(130, 27.226343309111314)	(135, 27.503711460137602)	(140, 27.679052390965314)	(145, 27.827881988697083)	(150, 28.450270355477706)																	
24L007779_S1_L002_2	(1, 35.08930524392374)	(2, 35.379545813924885)	(3, 35.291006400524196)	(4, 35.51139671571358)	(5, 35.690882482737806)	(6, 35.803020121396024)	(7, 35.824273623701266)	(8, 35.8132089745829)	(9, 35.81161395940582)	(10, 35.83937247371527)	(15, 35.660196635513245)	(20, 35.46294659753177)	(25, 35.16911776530446)	(30, 34.47124631941438)	(35, 33.55931643683139)	(40, 32.95687365449985)	(45, 32.46387636332819)	(50, 31.99985419248287)	(55, 31.588764532435142)	(60, 31.252225528304205)	(65, 30.88057785581923)	(70, 30.579246468239738)	(75, 30.305982800335265)	(80, 30.07465630125561)	(85, 30.091361493710576)	(90, 29.9889005836228)	(95, 29.831647858516686)	(100, 29.943769043704016)	(105, 30.025206676057827)	(110, 30.250881097835105)	(115, 30.451597526605116)	(120, 30.574169249579107)	(125, 30.640637427305528)	(130, 30.643443426207938)	(135, 30.59854368053602)	(140, 30.576577863750877)	(145, 30.516736610774444)	(150, 30.451146440419212)																	
24L007780_S2_L001_1	(1, 36.04085052501438)	(2, 35.90536435601358)	(3, 35.701999690914555)	(4, 35.993685809473526)	(5, 36.084991833365024)	(6, 36.00936827645797)	(7, 35.98499418884891)	(8, 36.022199458928114)	(9, 35.863658043489124)	(10, 35.793251251422625)	(15, 35.9059011995158)	(20, 36.24298473129387)	(25, 36.05070361750619)	(30, 35.695290008899136)	(35, 33.13477065342846)	(40, 27.16956002433617)	(45, 25.740751904925776)	(50, 25.322969311492063)	(55, 25.188667089121743)	(60, 25.25036442782711)	(65, 25.09743228127465)	(70, 24.737009948759606)	(75, 24.346257762324782)	(80, 24.0998643815792)	(85, 23.763624687539316)	(90, 23.58079186772062)	(95, 23.394430050459057)	(100, 23.09729462909459)	(105, 22.931509698561257)	(110, 23.001137779146383)	(115, 23.429390349065475)	(120, 24.24320904230047)	(125, 24.912994951795884)	(130, 25.269478455652845)	(135, 25.59359497964673)	(140, 25.818501853663072)	(145, 25.985429141109705)	(150, 26.522183467715372)																	
24L007780_S2_L001_2	(1, 35.10604170125685)	(2, 35.463583817021416)	(3, 35.39038709792321)	(4, 35.55555833872892)	(5, 35.75995045440731)	(6, 35.861951639043355)	(7, 35.872804674658845)	(8, 35.820481219612105)	(9, 35.90034016634312)	(10, 35.91084969197739)	(15, 35.88667842876586)	(20, 35.833681994738654)	(25, 35.62037840561318)	(30, 34.999657179428695)	(35, 34.0115861311407)	(40, 33.30990163844012)	(45, 32.722501477922506)	(50, 32.16227590299773)	(55, 31.730382260563623)	(60, 31.443691583281577)	(65, 31.180479656949625)	(70, 30.9135468244343)	(75, 30.62593704883148)	(80, 30.35307347558541)	(85, 30.281500431742963)	(90, 30.097463534524213)	(95, 29.826691814808413)	(100, 29.81547196715651)	(105, 29.811436092562474)	(110, 29.926564423345944)	(115, 30.090517844513933)	(120, 30.177319815536883)	(125, 30.209035865976414)	(130, 30.234559222897143)	(135, 30.143328538023837)	(140, 30.01343009453642)	(145, 30.050858665835243)	(150, 29.872580217765833)																	
24L007780_S2_L002_1	(1, 36.14934141417051)	(2, 35.921431696192684)	(3, 35.80899863269067)	(4, 35.9725531103812)	(5, 35.98284258569987)	(6, 36.017870435963744)	(7, 35.99829750184753)	(8, 35.94326228845636)	(9, 35.82855975249811)	(10, 35.77294521041172)	(15, 35.88973671869163)	(20, 36.228837872578296)	(25, 36.06058012981788)	(30, 35.72170043233619)	(35, 33.101010247168844)	(40, 27.08898832161204)	(45, 25.637122831005428)	(50, 25.209400454209536)	(55, 25.072849953327854)	(60, 25.1439806884434)	(65, 25.00039774839528)	(70, 24.616714523993622)	(75, 24.238731624811756)	(80, 24.009229270501315)	(85, 23.657032686704333)	(90, 23.459922354112415)	(95, 23.280120861503896)	(100, 22.982602086896556)	(105, 22.823815848885747)	(110, 22.90648471728975)	(115, 23.350814686695184)	(120, 24.186175974486492)	(125, 24.879719949092703)	(130, 25.24972091786613)	(135, 25.577213378336147)	(140, 25.80080506812004)	(145, 25.977079282628164)	(150, 26.5161699322912)																	
24L007780_S2_L002_2	(1, 35.23101958159794)	(2, 35.60960921867138)	(3, 35.500191729353766)	(4, 35.68062637889861)	(5, 35.84989841944802)	(6, 35.95129916890276)	(7, 35.9419597890437)	(8, 35.93215852597032)	(9, 35.919226583589946)	(10, 35.97998966641793)	(15, 35.937719014781166)	(20, 35.89100931102551)	(25, 35.68398335285132)	(30, 35.042486527187314)	(35, 34.04431634983315)	(40, 33.32526076992387)	(45, 32.73546540725385)	(50, 32.16759958449639)	(55, 31.72640700541253)	(60, 31.44320184420235)	(65, 31.155942709828878)	(70, 30.90722788158867)	(75, 30.621717602464933)	(80, 30.34515743860385)	(85, 30.28514266284168)	(90, 30.09826055119039)	(95, 29.791490997271683)	(100, 29.7859743226688)	(105, 29.80394240108161)	(110, 29.96201227157878)	(115, 30.13357448775408)	(120, 30.22654740440762)	(125, 30.28913254619282)	(130, 30.297847455445428)	(135, 30.21538387392814)	(140, 30.16497987755033)	(145, 30.14014997238046)	(150, 29.98217093518881)																	
24L007781_S3_L001_1	(1, 36.019686215491326)	(2, 35.888682912637485)	(3, 35.68656186063911)	(4, 35.97772067329815)	(5, 36.070167038755514)	(6, 35.995690648645834)	(7, 35.966316341399015)	(8, 36.00945283082375)	(9, 35.84806790795148)	(10, 35.786997174888896)	(15, 35.89683503002664)	(20, 36.22612835859729)	(25, 36.050634464957824)	(30, 35.682892488898766)	(35, 32.969991070566515)	(40, 27.227994606701373)	(45, 25.844273917796805)	(50, 25.21024656859702)	(55, 24.898092837457643)	(60, 24.846373027636986)	(65, 24.55424768853223)	(70, 24.13960993970449)	(75, 23.800422677709644)	(80, 23.749129645195072)	(85, 23.39994938395993)	(90, 23.056543194664094)	(95, 22.73427391896146)	(100, 22.480035093477206)	(105, 22.47421685770359)	(110, 22.78853580467566)	(115, 23.537699760697706)	(120, 24.793084726196454)	(125, 25.81659968523951)	(130, 26.40178327786261)	(135, 26.866701831608463)	(140, 27.17374574865026)	(145, 27.38691130274742)	(150, 28.00960459668852)																	
24L007781_S3_L001_2	(1, 35.062448966138845)	(2, 35.32273886583966)	(3, 35.24943097717957)	(4, 35.42490721460258)	(5, 35.6366589407132)	(6, 35.745197852696606)	(7, 35.76777789411418)	(8, 35.71854977707862)	(9, 35.801364886094696)	(10, 35.815677765198174)	(15, 35.775006134836424)	(20, 35.686979576905344)	(25, 35.417776851745195)	(30, 34.59574876508392)	(35, 33.377929729423144)	(40, 32.56774530698116)	(45, 31.895549759958147)	(50, 31.2675931909896)	(55, 30.820118000827144)	(60, 30.545532389082915)	(65, 30.271731826762696)	(70, 30.05056060234252)	(75, 29.816931566205398)	(80, 29.613174798522884)	(85, 29.671824463666223)	(90, 29.54568817374742)	(95, 29.370482346636948)	(100, 29.57262019300481)	(105, 29.74062200428105)	(110, 30.088814425827643)	(115, 30.4571111984087)	(120, 30.70346796741892)	(125, 30.84850164991287)	(130, 30.94676958206594)	(135, 30.939868762147842)	(140, 30.919445611890144)	(145, 30.955268677025504)	(150, 30.776839163094625)																	
