Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
24L007783_1	0.0	0.0
24L007783_2	0.9996407407723531	3.4382271992600657
24L007783_3	0.0	0.0
24L007783_4	0.9361434007115442	3.140256721449332
24L007784_1	0.0	0.0
24L007784_2	0.5689901017224954	1.755109128734339
24L007784_3	0.0	0.0
24L007784_4	0.5483069635992746	1.5596456540016541
2CLCmesc_0-0-3_S15_1	0.0	0.0
2CLCmesc_0-0-3_S15_2	0.31073408249930257	0.6805741071455492
2CLCmesc_0-0-4_S16_1	0.0	0.0
2CLCmesc_0-0-4_S16_2	0.2605914779087353	1.3014435414728869
2CLCmesc_003_RR_S3_1	0.0	0.0
2CLCmesc_003_RR_S3_2	0.5112956278333317	3.9583999812215227
2CLCmesc_004_RR_S4_1	0.0	0.0
2CLCmesc_004_RR_S4_2	0.5777420800484228	5.058105749776873
2CLCmesc_1_RR_S9_1	0.0	0.0
2CLCmesc_1_RR_S9_2	0.686326882766849	0.9362859732863258
2CLCmesc_1_S1_1	0.0	0.0
2CLCmesc_1_S1_2	0.8532647710895039	0.4029684112420485
2CLCmesc_2_RR_S10_1	0.0	0.0
2CLCmesc_2_RR_S10_2	0.51339648831815	1.028387375668344
2CLCmesc_2_S2_1	0.11707309988029654	0.0
2CLCmesc_2_S2_2	0.7806142746462832	0.4925855769908627
2CLCmesc_3_RR_S11_1	0.0	0.0
2CLCmesc_3_RR_S11_2	0.3692964853115088	1.043693609991836
2CLCmesc_3_S5_1	0.0	0.0
2CLCmesc_3_S5_2	0.4105941704035875	0.6749569864848032
2CLCmesc_4_RR_S12_1	0.11352057975446775	0.0
2CLCmesc_4_RR_S12_2	1.0144139105930383	0.8657431330032737
2CLCmesc_4_S6_1	0.2940789052578735	0.0
2CLCmesc_4_S6_2	1.8086571900021589	2.1230063523732
2CLCmesc_5_RR_S13_1	0.0	0.0
2CLCmesc_5_RR_S13_2	1.1926881262563145	0.8929021376990833
2CLCmesc_5_S7_1	0.17787613544866604	0.0
2CLCmesc_5_S7_2	1.2954563163648642	1.2424588735593645
2CLCmesc_6_RR_S14_1	1.0703760287355737	1.376780107452664
2CLCmesc_6_RR_S14_2	10.08363297105041	4.235828857683124
2CLCmesc_6_S8_1	1.5818618275065415	0.9196828629415741
2CLCmesc_6_S8_2	7.677538444883093	2.5917075711150988
combined_003_1	0.0	0.0
combined_003_2	0.31073408249930257	0.6805741071455492
combined_003_3	0.0	0.0
combined_003_4	0.5112956278333317	3.9583999812215227
combined_004_1	0.0	0.0
combined_004_2	0.2605914779087353	1.3014435414728869
combined_004_3	0.0	0.0
combined_004_4	0.5777420800484228	5.058105749776873
combined_1_1	0.0	0.0
combined_1_2	0.8532647710895039	0.4029684112420485
combined_1_3	0.0	0.0
combined_1_4	0.686326882766849	0.9362859732863258
combined_2_1	0.11707309988029654	0.0
combined_2_2	0.7806142746462832	0.4925855769908627
combined_2_3	0.0	0.0
combined_2_4	0.51339648831815	1.028387375668344
combined_3_1	0.0	0.0
combined_3_2	0.4105941704035875	0.6749569864848032
combined_3_3	0.0	0.0
combined_3_4	0.3692964853115088	1.043693609991836
combined_4_1	0.2940789052578735	0.0
combined_4_2	1.8086571900021589	2.1230063523732
combined_4_3	0.11352057975446775	0.0
combined_4_4	1.0144139105930383	0.8657431330032737
combined_5_1	0.17787613544866604	0.0
combined_5_2	1.2954563163648642	1.2424588735593645
combined_5_3	0.0	0.0
combined_5_4	1.1926881262563145	0.8929021376990833
combined_6_1	1.5818618275065415	0.9196828629415741
combined_6_2	7.677538444883093	2.5917075711150988
combined_6_3	1.0703760287355737	1.376780107452664
combined_6_4	10.08363297105041	4.235828857683124
