Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
24L007783_1	(1, 0.05299655561185416)	(2, 0.05845915812294425)	(3, 0.5494726338357013)	(4, 0.0)	(5, 0.0031347889410232913)	(6, 0.0)	(7, 4.655627140133601e-05)	(8, 7.759378566889335e-05)	(9, 0.0)	(10, 3.414126569431307e-05)	(15, 0.0030199501382333293)	(20, 0.00020174384273912273)	(25, 0.0013128868535176755)	(30, 0.0012290855649952706)	(35, 0.002160210993021991)	(40, 0.001446348164868172)	(45, 0.001828109590359127)	(50, 0.0007262778338608417)	(55, 0.0017194782904226768)	(60, 0.0016542995104608061)	(65, 0.0023867848471751593)	(70, 0.0020515796930855403)	(75, 0.0027250937526915346)	(80, 0.002650603718449397)	(85, 0.0013501318706387443)	(90, 0.002160210993021991)	(95, 0.001961570901709624)	(100, 0.0003662426683571766)	(105, 0.0015146306962567982)	(110, 0.0018063833303718373)	(115, 0.0008566353937845825)	(120, 0.0005648827596695436)	(125, 0.001235293067848782)	(130, 0.0006579953024722157)	(135, 0.0012570193278360724)	(140, 0.0018840046576816304)	(145, 0.0004165746989936923)	(150, 9.465347277568212e-05)																	
24L007783_2	(1, 0.08193903766635138)	(2, 0.020220940545313607)	(3, 7.759378566889335e-05)	(4, 0.0027002637412774887)	(5, 0.0014432444134414163)	(6, 0.0021415884844614565)	(7, 0.00035693141407690937)	(8, 0.0)	(9, 0.0)	(10, 6.207502853511468e-06)	(15, 3.414126569431307e-05)	(20, 0.00026071511984748167)	(25, 3.103751426755734e-05)	(30, 0.0008193903766635138)	(35, 0.0)	(40, 0.0007604190995551548)	(45, 0.0009745779480013005)	(50, 0.0004438364540260699)	(55, 0.000490392725427406)	(60, 3.103751426755734e-06)	(65, 0.0007386928395678648)	(70, 6.207502853511468e-06)	(75, 0.00036313891693042085)	(80, 0.00045935521115984866)	(85, 4.0348768547824544e-05)	(90, 0.00027933762840801605)	(95, 0.00017691383132507684)	(100, 0.0008566353937845825)	(105, 2.483001141404587e-05)	(110, 8.690503994916055e-05)	(115, 0.0005152227368414519)	(120, 0.0011949442993009576)	(125, 0.0008069753709564909)	(130, 0.00034451640836988647)	(135, 0.0007169667576035024)	(140, 0.0006766561601830125)	(145, 0.0009441191162995217)	(150, 0.0009390696301177034)																	
24L007783_3	(1, 0.02487895607533091)	(2, 0.06036130486911466)	(3, 0.0)	(4, 0.0)	(5, 0.003626268505444911)	(6, 0.0)	(7, 1.5300710993438443e-05)	(8, 0.0002142099539081382)	(9, 0.0)	(10, 1.836085319212613e-05)	(15, 0.002827571391587424)	(20, 5.8142701775066085e-05)	(25, 0.0022186030940485745)	(30, 0.0018972881631863668)	(35, 0.002622541864275349)	(40, 0.0007252537010889823)	(45, 0.0023716102039829587)	(50, 0.0014413269755819014)	(55, 0.002172700961068259)	(60, 0.0009853657879774359)	(65, 0.0012760792968527662)	(70, 0.002279805938022328)	(75, 0.0017565216220467334)	(80, 0.000982305645778748)	(85, 0.0008201181092483006)	(90, 0.002347129066393457)	(95, 0.0022430842316380757)	(100, 1.2240568794750754e-05)	(105, 0.0012944401500448923)	(110, 0.0019615511493588085)	(115, 7.038327056981684e-05)	(120, 0.0003794576326372734)	(125, 0.0018116041816231116)	(130, 0.0005171640315782194)	(135, 0.0015331314761225481)	(140, 0.0018055103072911218)	(145, 0.0010237427710810322)	(150, 0.00035623935416858574)																	
24L007783_4	(1, 0.09394636549971204)	(2, 0.012607785858593278)	(3, 0.0005661263067572224)	(4, 0.0003519163528490842)	(5, 0.001484168966363529)	(6, 0.0)	(7, 0.0)	(8, 0.00016830782092782287)	(9, 0.0)	(10, 1.5300710993438443e-05)	(15, 8.874412376194297e-05)	(20, 0.00011628540355013217)	(25, 3.0601421986876884e-06)	(30, 0.00016830782092782287)	(35, 0.0)	(40, 2.75412797881892e-05)	(45, 7.95636971658799e-05)	(50, 7.650355496719222e-05)	(55, 0.0003182547886635196)	(60, 0.0)	(65, 9.486440815931835e-05)	(70, 6.120284397375377e-06)	(75, 6.120284397375377e-06)	(80, 5.20224173776907e-05)	(85, 3.0601421986876884e-06)	(90, 6.120284397375377e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 3.0601421986876884e-06)	(115, 8.26238393645676e-05)	(120, 9.180426596063066e-06)	(125, 1.836085319212613e-05)	(130, 1.2240568794750754e-05)	(135, 0.0002080897077178086)	(140, 0.0)	(145, 3.072313189148651e-05)	(150, 8.492698826818584e-06)																	
24L007784_1	(1, 0.05338303573467054)	(2, 0.057714007788831206)	(3, 0.5476673287657491)	(4, 0.0)	(5, 0.003514590740437096)	(6, 0.0)	(7, 4.1510914257131055e-05)	(8, 9.685879993330579e-05)	(9, 0.0)	(10, 2.7673942838087372e-05)	(15, 0.0031271555407038727)	(20, 0.00016327626274471548)	(25, 0.0012702339762682103)	(30, 0.001231490456294888)	(35, 0.002189008878492711)	(40, 0.0012813035534034452)	(45, 0.001768364947353783)	(50, 0.0006032919538703046)	(55, 0.0017406910045156957)	(60, 0.0016687387531366686)	(65, 0.0023716569012240877)	(70, 0.0020589413471537)	(75, 0.0026290245696183)	(80, 0.0027092790038487535)	(85, 0.0013255818619443852)	(90, 0.0019510129700851596)	(95, 0.0019095020558280286)	(100, 0.00038466780544941446)	(105, 0.0014196732675938822)	(110, 0.0016798083302719032)	(115, 0.0008689618051159434)	(120, 0.0005451766739103213)	(125, 0.0011235620792263473)	(130, 0.0005894549824512611)	(135, 0.0012148862250748033)	(140, 0.0019704350064605083)	(145, 0.0004355211251602274)	(150, 7.182346940396017e-05)																	
24L007784_2	(1, 0.083935068627919)	(2, 0.020893826842755966)	(3, 2.7673942838087372e-05)	(4, 0.002767394283808737)	(5, 0.0011623055991996697)	(6, 0.002227752398466033)	(7, 0.0001798806284475679)	(8, 0.0)	(9, 0.0)	(10, 1.3836971419043686e-05)	(15, 2.4906548554278636e-05)	(20, 0.00024353069697516887)	(25, 6.365006852760095e-05)	(30, 0.0008136139194397687)	(35, 1.937175998666116e-05)	(40, 0.0007693356108988289)	(45, 0.0010045641250225716)	(50, 0.00046215484539605914)	(55, 0.00040403956543607565)	(60, 0.0)	(65, 0.0007444290623445502)	(70, 5.534788567617474e-06)	(75, 0.000379133016881797)	(80, 0.0005092005482208076)	(85, 2.7673942838087372e-05)	(90, 0.00028780900551610866)	(95, 0.00013006753133901065)	(100, 0.000916007507940692)	(105, 1.3836971419043686e-05)	(110, 6.088267424379222e-05)	(115, 0.00044555047969320667)	(120, 0.0012038165134568006)	(125, 0.0008357530737102385)	(130, 0.00033208731405704844)	(135, 0.000713987982087868)	(140, 0.0006780748563643719)	(145, 0.0010443763300654752)	(150, 0.0010849247000614707)																	
24L007784_3	(1, 0.024159954432663496)	(2, 0.06138781428039991)	(3, 0.0)	(4, 0.0)	(5, 0.004169738328479994)	(6, 0.0)	(7, 5.4506383378823455e-05)	(8, 0.00019077234182588208)	(9, 0.0)	(10, 3.5429149196235243e-05)	(15, 0.0028234306590230545)	(20, 7.630893673035283e-05)	(25, 0.0023764783153167024)	(30, 0.00202218682335435)	(35, 0.0027552976797995256)	(40, 0.0007358361756141166)	(45, 0.0025481734229599964)	(50, 0.0015452559687896448)	(55, 0.002368302357809879)	(60, 0.0009456857516225869)	(65, 0.00137083554197741)	(70, 0.002319246612768938)	(75, 0.001828689162359527)	(80, 0.0010792263909007044)	(85, 0.0009020806449195281)	(90, 0.0025045683162569377)	(95, 0.002482765762905408)	(100, 1.3626595844705864e-05)	(105, 0.0013544836269637627)	(110, 0.002024912142523291)	(115, 0.00010083680925082338)	(120, 0.00035974213030023477)	(125, 0.001913174056596703)	(130, 0.0005368878762814109)	(135, 0.00164064236326629)	(140, 0.0019186697688068338)	(145, 0.0011173298210384573)	(150, 0.00044003107247987525)																	
24L007784_4	(1, 0.09420065707445163)	(2, 0.01329955754443292)	(3, 0.0006268234088564697)	(4, 0.00021802553351529382)	(5, 0.001676071288898821)	(6, 0.0)	(7, 0.0)	(8, 0.00019077234182588208)	(9, 0.0)	(10, 2.180255335152938e-05)	(15, 7.903425589929401e-05)	(20, 0.00013354063927811745)	(25, 2.180255335152938e-05)	(30, 0.00019622298016376444)	(35, 0.0)	(40, 1.3626595844705864e-05)	(45, 8.175957506823518e-05)	(50, 0.00010356212841976456)	(55, 0.0003433902152865877)	(60, 0.0)	(65, 5.4506383378823455e-05)	(70, 2.7253191689411727e-06)	(75, 8.175957506823518e-06)	(80, 5.4506383378823455e-05)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 2.7253191689411727e-06)	(115, 6.268234088564697e-05)	(120, 8.175957506823518e-06)	(125, 2.7253191689411727e-06)	(130, 1.6351915013647035e-05)	(135, 0.00019077238341913276)	(140, 0.0)	(145, 4.113957613236478e-05)	(150, 1.6185286571019175e-05)																	
2CLCmesc_0-0-3_S15_1	(1, 8.868108349128913e-06)	(2, 0.19795834862343015)	(3, 0.006642213153497555)	(4, 0.12818407213248387)	(5, 8.868108349128913e-06)	(6, 1.3302162523693367e-05)	(7, 0.10005886650322152)	(8, 0.0009976621892770028)	(9, 0.002185988708060277)	(10, 0.002338963577082751)	(12, 0.055880167734948555)	(14, 8.868108349128913e-06)	(16, 8.868108349128913e-06)	(18, 8.868108349128913e-06)	(20, 8.868108349128913e-06)	(22, 8.868108349128913e-06)	(24, 8.868108349128913e-06)	(26, 8.868108349128913e-06)	(28, 0.00037467757775069653)	(30, 0.0009688408371423336)	(32, 0.007078967489692154)	(34, 4.212351465836233e-05)	(36, 0.0)	(38, 0.00047222689522389275)	(40, 1.551919373975234e-05)	(42, 0.0001884473525541356)	(44, 0.11523001351766114)	(46, 2.660433212528973e-05)	(48, 0.00024387304448182252)	(50, 0.06428271749773132)	(52, 0.007081186400681284)	(54, 0.0016029110105487063)	(56, 0.0035782826708514693)	(58, 0.002130563597700286)	(60, 0.005699978157843326)	(62, 0.005635684355207208)	(64, 0.013344289588509906)	(66, 0.0)	(68, 0.0031681326208249623)	(70, 0.0020928742199886603)	(72, 0.000461141777285637)	(74, 0.0012415355542305612)	(76, 0.007063450492461728)	(78, 0.0504839394739002)	(80, 0.0)	(82, 0.00017071113870670217)	(84, 0.0003857628329216386)	(86, 0.12115613655676467)	(88, 0.0033078066876091623)	(90, 0.0038088739002236885)	(92, 0.002899981757607109)	(94, 0.05958357174078883)	(96, 0.008351545543894792)	(98, 0.00018780620796103362)	(100, 0.0031444067576219276)
2CLCmesc_0-0-3_S15_2	(1, 0.18100695951407023)	(2, 0.14827033754326086)	(3, 0.016902614513439707)	(4, 0.015754194482227514)	(5, 0.005325299063651911)	(6, 0.11273139333412674)	(7, 7.537892096759575e-05)	(8, 0.00037689460483797876)	(9, 8.868108349128912e-05)	(10, 0.0017479041556133087)	(15, 0.0009905677025976996)	(20, 0.05862351705275159)	(25, 0.00381860745513491)	(30, 0.07292422857655687)	(35, 0.024938007488585413)	(40, 0.0022968400624243882)	(45, 0.09359224189503672)	(50, 0.025281203281696703)	(55, 0.09634844996994597)	(60, 0.0025939216921202065)	(65, 0.012894229539633437)	(70, 0.0011803452212690584)	(75, 0.0034133349035797185)	(80, 0.0003715737398285014)	(85, 0.0024254276334867574)	(90, 0.004012819027980833)	(95, 0.004612303152381947)	(100, 0.07283998154724014)	(105, 0.06817092250142377)	(110, 0.024117707466290987)	(115, 0.0007706386155393025)	(120, 0.0012078363571513579)	(125, 0.0020848922728802072)	(130, 0.002577072286256862)	(135, 0.000905433862446062)	(140, 0.02336037101327538)	(145, 0.0020724769211914267)	(150, 0.024445827475208758)	(155, 0.0005719929885188149)	(160, 0.003043534785421043)	(165, 0.01092550948612682)	(170, 0.09644954640512605)	(175, 0.004540471474754003)	(180, 0.027281848525260187)	(185, 0.04632612024316571)	(190, 0.0024929168260250374)	(195, 5.962648457153588e-05)	(200, 0.06478440966214621)							
