Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
24L007783_1	(0.0, 5296.0)	(1.0, 6693.0)	(2.0, 9440.5)	(3.0, 11880.0)	(4.0, 15866.5)	(5.0, 28842.0)	(6.0, 59256.5)	(7.0, 98403.5)	(8.0, 117382.0)	(9.0, 102010.5)	(10.0, 70876.5)	(11.0, 47848.5)	(12.0, 38435.5)	(13.0, 36888.5)	(14.0, 39158.0)	(15.0, 43227.0)	(16.0, 48494.0)	(17.0, 54949.5)	(18.0, 62461.0)	(19.0, 70558.0)	(20.0, 79337.5)	(21.0, 88604.5)	(22.0, 98037.0)	(23.0, 108040.0)	(24.0, 117680.5)	(25.0, 127636.5)	(26.0, 137854.0)	(27.0, 147081.0)	(28.0, 156091.0)	(29.0, 164654.5)	(30.0, 172628.0)	(31.0, 179602.5)	(32.0, 185318.5)	(33.0, 190853.5)	(34.0, 194867.5)	(35.0, 197533.0)	(36.0, 199880.0)	(37.0, 200382.5)	(38.0, 199497.0)	(39.0, 196725.0)	(40.0, 191433.5)	(41.0, 183878.0)	(42.0, 174327.0)	(43.0, 163282.5)	(44.0, 151067.0)	(45.0, 139790.5)	(46.0, 129481.0)	(47.0, 120390.0)	(48.0, 113610.5)	(49.0, 107761.0)	(50.0, 101858.0)	(51.0, 95920.0)	(52.0, 89115.0)	(53.0, 80962.5)	(54.0, 72763.0)	(55.0, 64820.5)	(56.0, 56731.0)	(57.0, 49092.5)	(58.0, 41907.5)	(59.0, 35238.5)	(60.0, 29842.0)	(61.0, 25832.0)	(62.0, 22518.0)	(63.0, 19835.0)	(64.0, 17539.0)	(65.0, 14866.5)	(66.0, 11759.5)	(67.0, 7404.5)	(68.0, 3527.0)	(69.0, 2186.5)	(70.0, 1964.5)	(71.0, 1980.0)	(72.0, 2082.0)	(73.0, 2219.5)	(74.0, 2314.0)	(75.0, 2189.0)	(76.0, 1829.0)	(77.0, 1312.0)	(78.0, 765.0)	(79.0, 392.5)	(80.0, 176.5)	(81.0, 69.5)	(82.0, 23.0)	(83.0, 7.5)	(84.0, 6.0)	(85.0, 7.0)	(86.0, 6.5)	(87.0, 4.5)	(88.0, 1.0)	(89.0, 1.0)	(90.0, 0.5)	(91.0, 3.0)	(92.0, 3.5)	(93.0, 2.0)	(94.0, 3.0)	(95.0, 5.5)	(96.0, 9.5)	(97.0, 11.0)	(98.0, 19.0)	(99.0, 21.5)	(100.0, 16.0)
24L007783_2	(0.0, 60127.0)	(1.0, 43775.5)	(2.0, 27480.0)	(3.0, 32560.0)	(4.0, 42281.0)	(5.0, 49231.0)	(6.0, 51962.5)	(7.0, 49392.0)	(8.0, 43084.0)	(9.0, 37486.0)	(10.0, 33275.0)	(11.0, 30910.0)	(12.0, 29673.0)	(13.0, 28543.0)	(14.0, 27852.0)	(15.0, 27423.0)	(16.0, 26673.0)	(17.0, 25376.0)	(18.0, 24668.5)	(19.0, 24952.0)	(20.0, 25825.5)	(21.0, 27275.5)	(22.0, 29504.0)	(23.0, 32844.0)	(24.0, 37041.5)	(25.0, 42368.0)	(26.0, 51349.5)	(27.0, 59558.5)	(28.0, 67613.5)	(29.0, 75268.5)	(30.0, 82601.5)	(31.0, 96798.5)	(32.0, 114946.5)	(33.0, 134203.5)	(34.0, 150419.5)	(35.0, 162574.0)	(36.0, 167882.0)	(37.0, 167674.5)	(38.0, 169980.5)	(39.0, 173402.0)	(40.0, 172688.0)	(41.0, 166970.5)	(42.0, 159180.5)	(43.0, 151487.0)	(44.0, 145840.0)	(45.0, 141543.5)	(46.0, 138907.0)	(47.0, 134927.5)	(48.0, 129942.0)	(49.0, 127310.0)	(50.0, 123984.0)	(51.0, 119294.5)	(52.0, 115710.5)	(53.0, 113174.0)	(54.0, 111462.5)	(55.0, 111362.5)	(56.0, 111760.5)	(57.0, 110297.5)	(58.0, 106296.0)	(59.0, 104443.5)	(60.0, 98689.5)	(61.0, 88294.5)	(62.0, 84504.0)	(63.0, 91482.0)	(64.0, 86740.0)	(65.0, 68169.5)	(66.0, 62836.5)	(67.0, 69621.0)	(68.0, 73104.0)	(69.0, 70258.0)	(70.0, 67059.0)	(71.0, 66341.0)	(72.0, 57990.0)	(73.0, 51900.0)	(74.0, 60593.5)	(75.0, 71272.5)	(76.0, 55187.0)	(77.0, 25884.5)	(78.0, 12468.0)	(79.0, 5560.5)	(80.0, 3640.0)	(81.0, 2601.0)	(82.0, 2124.0)	(83.0, 1639.0)	(84.0, 1196.0)	(85.0, 1533.0)	(86.0, 1273.5)	(87.0, 618.0)	(88.0, 450.0)	(89.0, 387.0)	(90.0, 334.0)	(91.0, 274.5)	(92.0, 211.0)	(93.0, 193.5)	(94.0, 217.0)	(95.0, 223.0)	(96.0, 255.0)	(97.0, 300.5)	(98.0, 376.5)	(99.0, 574.0)	(100.0, 2711.5)
24L007783_3	(0.0, 5010.0)	(1.0, 6373.0)	(2.0, 9104.5)	(3.0, 11574.5)	(4.0, 15382.5)	(5.0, 28167.5)	(6.0, 58215.0)	(7.0, 96735.0)	(8.0, 116312.5)	(9.0, 102669.0)	(10.0, 72725.5)	(11.0, 49716.0)	(12.0, 40024.5)	(13.0, 38616.5)	(14.0, 40900.5)	(15.0, 45252.5)	(16.0, 50890.5)	(17.0, 57545.5)	(18.0, 65225.0)	(19.0, 73543.0)	(20.0, 82706.0)	(21.0, 92421.0)	(22.0, 101883.0)	(23.0, 111563.0)	(24.0, 121707.0)	(25.0, 132097.0)	(26.0, 142077.0)	(27.0, 151663.0)	(28.0, 160666.0)	(29.0, 168968.0)	(30.0, 176665.5)	(31.0, 183613.0)	(32.0, 189619.0)	(33.0, 194597.0)	(34.0, 198443.5)	(35.0, 201158.5)	(36.0, 202749.0)	(37.0, 202750.0)	(38.0, 201088.5)	(39.0, 197167.5)	(40.0, 191224.0)	(41.0, 183571.5)	(42.0, 174049.0)	(43.0, 163156.0)	(44.0, 151417.0)	(45.0, 140315.5)	(46.0, 130481.0)	(47.0, 121761.0)	(48.0, 114601.5)	(49.0, 108378.5)	(50.0, 102374.0)	(51.0, 95888.0)	(52.0, 88984.5)	(53.0, 81471.5)	(54.0, 73156.0)	(55.0, 64923.0)	(56.0, 56769.0)	(57.0, 48716.5)	(58.0, 41535.5)	(59.0, 35185.5)	(60.0, 29748.0)	(61.0, 25615.0)	(62.0, 22419.0)	(63.0, 19879.0)	(64.0, 17625.0)	(65.0, 15008.0)	(66.0, 11747.0)	(67.0, 7366.0)	(68.0, 3679.0)	(69.0, 2258.0)	(70.0, 1953.5)	(71.0, 2010.0)	(72.0, 2111.0)	(73.0, 2186.5)	(74.0, 2201.5)	(75.0, 2069.0)	(76.0, 1740.0)	(77.0, 1235.5)	(78.0, 752.0)	(79.0, 405.0)	(80.0, 182.0)	(81.0, 66.5)	(82.0, 23.0)	(83.0, 10.5)	(84.0, 7.5)	(85.0, 7.0)	(86.0, 4.5)	(87.0, 2.0)	(88.0, 1.0)	(89.0, 1.5)	(90.0, 2.5)	(91.0, 1.0)	(92.0, 2.5)	(93.0, 5.0)	(94.0, 4.5)	(95.0, 10.0)	(96.0, 18.5)	(97.0, 28.0)	(98.0, 61.0)	(99.0, 90.5)	(100.0, 57.5)
24L007783_4	(0.0, 58510.0)	(1.0, 43380.5)	(2.0, 28031.0)	(3.0, 32227.5)	(4.0, 41264.5)	(5.0, 48164.0)	(6.0, 51060.5)	(7.0, 48826.0)	(8.0, 42965.5)	(9.0, 37382.5)	(10.0, 33159.0)	(11.0, 30864.0)	(12.0, 29565.0)	(13.0, 28411.5)	(14.0, 27537.0)	(15.0, 27230.0)	(16.0, 26374.0)	(17.0, 25171.0)	(18.0, 24692.0)	(19.0, 24806.5)	(20.0, 26043.0)	(21.0, 27826.0)	(22.0, 30101.0)	(23.0, 33390.5)	(24.0, 37684.5)	(25.0, 43173.5)	(26.0, 52306.5)	(27.0, 61281.5)	(28.0, 69604.0)	(29.0, 77029.5)	(30.0, 84652.5)	(31.0, 99547.5)	(32.0, 118779.5)	(33.0, 137818.0)	(34.0, 154122.0)	(35.0, 166451.0)	(36.0, 171861.0)	(37.0, 171881.0)	(38.0, 173584.0)	(39.0, 176786.5)	(40.0, 175643.0)	(41.0, 169525.0)	(42.0, 161414.5)	(43.0, 153832.0)	(44.0, 147889.0)	(45.0, 143798.0)	(46.0, 141468.0)	(47.0, 136959.5)	(48.0, 131931.0)	(49.0, 129685.5)	(50.0, 126628.0)	(51.0, 121555.0)	(52.0, 117703.0)	(53.0, 114840.0)	(54.0, 113137.0)	(55.0, 113265.0)	(56.0, 113736.5)	(57.0, 111998.0)	(58.0, 107357.5)	(59.0, 105156.5)	(60.0, 99547.5)	(61.0, 89417.5)	(62.0, 86070.5)	(63.0, 92881.0)	(64.0, 87280.5)	(65.0, 69058.5)	(66.0, 64289.5)	(67.0, 70786.5)	(68.0, 73725.5)	(69.0, 70869.5)	(70.0, 67578.5)	(71.0, 66495.0)	(72.0, 58633.0)	(73.0, 52939.5)	(74.0, 61050.5)	(75.0, 70293.5)	(76.0, 54349.0)	(77.0, 26310.5)	(78.0, 12936.5)	(79.0, 5833.0)	(80.0, 3663.5)	(81.0, 2596.0)	(82.0, 2112.5)	(83.0, 1639.5)	(84.0, 1262.0)	(85.0, 1542.0)	(86.0, 1254.0)	(87.0, 618.0)	(88.0, 461.0)	(89.0, 428.0)	(90.0, 352.0)	(91.0, 274.0)	(92.0, 238.0)	(93.0, 208.0)	(94.0, 217.0)	(95.0, 246.0)	(96.0, 275.5)	(97.0, 308.5)	(98.0, 402.5)	(99.0, 634.5)	(100.0, 2574.0)
24L007784_1	(0.0, 2195.0)	(1.0, 2689.0)	(2.0, 3644.0)	(3.0, 4747.5)	(4.0, 8127.0)	(5.0, 21060.5)	(6.0, 51752.0)	(7.0, 90882.5)	(8.0, 111558.0)	(9.0, 101428.0)	(10.0, 76632.0)	(11.0, 58965.0)	(12.0, 54150.5)	(13.0, 57006.0)	(14.0, 63983.5)	(15.0, 73679.5)	(16.0, 84451.5)	(17.0, 95688.0)	(18.0, 107624.5)	(19.0, 120612.5)	(20.0, 134060.5)	(21.0, 146658.5)	(22.0, 158847.0)	(23.0, 170927.5)	(24.0, 182272.0)	(25.0, 192155.0)	(26.0, 200592.5)	(27.0, 208025.0)	(28.0, 213793.0)	(29.0, 217399.0)	(30.0, 220180.0)	(31.0, 221523.5)	(32.0, 220515.0)	(33.0, 218719.5)	(34.0, 215775.0)	(35.0, 212171.0)	(36.0, 207818.5)	(37.0, 201832.5)	(38.0, 194830.5)	(39.0, 187486.0)	(40.0, 179017.5)	(41.0, 170480.5)	(42.0, 161882.5)	(43.0, 152947.0)	(44.0, 145342.5)	(45.0, 137603.5)	(46.0, 129613.0)	(47.0, 122527.0)	(48.0, 115730.0)	(49.0, 108855.0)	(50.0, 101247.5)	(51.0, 92101.0)	(52.0, 82479.5)	(53.0, 72204.0)	(54.0, 61657.0)	(55.0, 51537.5)	(56.0, 42089.0)	(57.0, 34099.5)	(58.0, 27202.5)	(59.0, 21212.0)	(60.0, 16508.0)	(61.0, 12702.5)	(62.0, 9618.0)	(63.0, 7425.0)	(64.0, 5873.0)	(65.0, 4681.0)	(66.0, 3792.5)	(67.0, 3095.0)	(68.0, 2550.0)	(69.0, 2520.5)	(70.0, 2865.5)	(71.0, 3272.0)	(72.0, 3877.5)	(73.0, 4458.5)	(74.0, 4701.5)	(75.0, 4470.0)	(76.0, 3748.0)	(77.0, 2701.0)	(78.0, 1599.0)	(79.0, 786.0)	(80.0, 323.0)	(81.0, 114.5)	(82.0, 32.5)	(83.0, 8.5)	(84.0, 5.5)	(85.0, 4.0)	(86.0, 3.0)	(87.0, 1.0)	(88.0, 1.0)	(89.0, 2.5)	(90.0, 2.0)	(91.0, 1.5)	(92.0, 2.5)	(93.0, 3.5)	(94.0, 2.5)	(95.0, 3.0)	(96.0, 6.5)	(97.0, 7.0)	(98.0, 16.0)	(99.0, 17.5)	(100.0, 14.5)
24L007784_2	(0.0, 39294.0)	(1.0, 29414.5)	(2.0, 21068.0)	(3.0, 27912.0)	(4.0, 38607.5)	(5.0, 46129.0)	(6.0, 49332.0)	(7.0, 46786.0)	(8.0, 39578.0)	(9.0, 33457.5)	(10.0, 28767.0)	(11.0, 26148.5)	(12.0, 25104.5)	(13.0, 24115.0)	(14.0, 23545.0)	(15.0, 23259.5)	(16.0, 22270.0)	(17.0, 21137.5)	(18.0, 20771.0)	(19.0, 20514.5)	(20.0, 21144.0)	(21.0, 22701.5)	(22.0, 24801.0)	(23.0, 28048.0)	(24.0, 32170.5)	(25.0, 37730.0)	(26.0, 51153.5)	(27.0, 61318.0)	(28.0, 67031.5)	(29.0, 71953.0)	(30.0, 75253.0)	(31.0, 88872.0)	(32.0, 100884.5)	(33.0, 108468.0)	(34.0, 119284.5)	(35.0, 131089.5)	(36.0, 139588.5)	(37.0, 145806.0)	(38.0, 151939.0)	(39.0, 158919.0)	(40.0, 166079.5)	(41.0, 167705.5)	(42.0, 168440.0)	(43.0, 171360.0)	(44.0, 174231.5)	(45.0, 177308.5)	(46.0, 180821.5)	(47.0, 182699.5)	(48.0, 182800.5)	(49.0, 182538.0)	(50.0, 181195.0)	(51.0, 178243.0)	(52.0, 173626.5)	(53.0, 168439.5)	(54.0, 162042.0)	(55.0, 153616.0)	(56.0, 146005.0)	(57.0, 139132.0)	(58.0, 133229.5)	(59.0, 131019.0)	(60.0, 123266.5)	(61.0, 110803.5)	(62.0, 107296.5)	(63.0, 121391.0)	(64.0, 119882.5)	(65.0, 91255.5)	(66.0, 79172.0)	(67.0, 90039.0)	(68.0, 98979.0)	(69.0, 97465.5)	(70.0, 90759.5)	(71.0, 92168.5)	(72.0, 81099.0)	(73.0, 65215.0)	(74.0, 71738.0)	(75.0, 77843.0)	(76.0, 60954.0)	(77.0, 34512.5)	(78.0, 18926.5)	(79.0, 10043.0)	(80.0, 7254.0)	(81.0, 5053.0)	(82.0, 3745.0)	(83.0, 2825.0)	(84.0, 1917.0)	(85.0, 1976.5)	(86.0, 1557.0)	(87.0, 894.5)	(88.0, 711.0)	(89.0, 639.0)	(90.0, 517.0)	(91.0, 419.0)	(92.0, 355.0)	(93.0, 303.5)	(94.0, 300.5)	(95.0, 319.0)	(96.0, 350.5)	(97.0, 417.0)	(98.0, 528.0)	(99.0, 817.5)	(100.0, 3788.0)
24L007784_3	(0.0, 2074.0)	(1.0, 2625.0)	(2.0, 3577.5)	(3.0, 4669.0)	(4.0, 8122.5)	(5.0, 20902.0)	(6.0, 50935.0)	(7.0, 89945.5)	(8.0, 111451.0)	(9.0, 102606.0)	(10.0, 78921.5)	(11.0, 61483.0)	(12.0, 56701.0)	(13.0, 60127.5)	(14.0, 67708.0)	(15.0, 77333.5)	(16.0, 88078.5)	(17.0, 99975.0)	(18.0, 112946.0)	(19.0, 125390.0)	(20.0, 138128.5)	(21.0, 151724.5)	(22.0, 164079.5)	(23.0, 175434.0)	(24.0, 186686.0)	(25.0, 196680.0)	(26.0, 204936.0)	(27.0, 211942.5)	(28.0, 217402.0)	(29.0, 220857.0)	(30.0, 223531.5)	(31.0, 224017.0)	(32.0, 222841.5)	(33.0, 220874.5)	(34.0, 217375.5)	(35.0, 213866.5)	(36.0, 209272.5)	(37.0, 203346.0)	(38.0, 196504.0)	(39.0, 188885.5)	(40.0, 180333.0)	(41.0, 171339.0)	(42.0, 163105.5)	(43.0, 154944.0)	(44.0, 146184.0)	(45.0, 137918.5)	(46.0, 130527.5)	(47.0, 123684.0)	(48.0, 116667.0)	(49.0, 109920.5)	(50.0, 102342.5)	(51.0, 92984.0)	(52.0, 82976.0)	(53.0, 72378.0)	(54.0, 61677.0)	(55.0, 51685.5)	(56.0, 42555.0)	(57.0, 34261.5)	(58.0, 27090.0)	(59.0, 21107.5)	(60.0, 16289.5)	(61.0, 12550.0)	(62.0, 9689.0)	(63.0, 7603.0)	(64.0, 5984.0)	(65.0, 4726.0)	(66.0, 3892.5)	(67.0, 3199.5)	(68.0, 2720.0)	(69.0, 2688.0)	(70.0, 2975.0)	(71.0, 3422.0)	(72.0, 3948.0)	(73.0, 4360.5)	(74.0, 4565.0)	(75.0, 4319.0)	(76.0, 3523.5)	(77.0, 2503.5)	(78.0, 1545.0)	(79.0, 776.5)	(80.0, 306.5)	(81.0, 110.0)	(82.0, 40.5)	(83.0, 11.0)	(84.0, 8.0)	(85.0, 6.0)	(86.0, 2.5)	(87.0, 1.0)	(88.0, 2.5)	(89.0, 1.5)	(90.0, 1.5)	(91.0, 3.0)	(92.0, 2.0)	(93.0, 2.0)	(94.0, 3.0)	(95.0, 2.5)	(96.0, 7.5)	(97.0, 22.0)	(98.0, 45.5)	(99.0, 65.0)	(100.0, 51.5)
24L007784_4	(0.0, 38455.0)	(1.0, 29463.5)	(2.0, 21519.5)	(3.0, 27725.5)	(4.0, 38189.5)	(5.0, 46192.0)	(6.0, 49432.5)	(7.0, 46386.5)	(8.0, 39578.5)	(9.0, 33619.5)	(10.0, 28735.0)	(11.0, 26038.0)	(12.0, 24900.5)	(13.0, 24167.5)	(14.0, 23780.5)	(15.0, 23428.5)	(16.0, 22378.0)	(17.0, 21238.0)	(18.0, 20963.0)	(19.0, 20740.0)	(20.0, 21256.0)	(21.0, 22754.0)	(22.0, 25144.0)	(23.0, 28580.5)	(24.0, 32768.0)	(25.0, 38352.5)	(26.0, 51618.0)	(27.0, 61846.0)	(28.0, 67909.0)	(29.0, 73307.0)	(30.0, 77315.5)	(31.0, 91174.5)	(32.0, 103277.0)	(33.0, 111017.5)	(34.0, 121530.5)	(35.0, 133480.5)	(36.0, 141932.0)	(37.0, 147972.5)	(38.0, 154745.5)	(39.0, 161680.5)	(40.0, 168270.5)	(41.0, 170456.0)	(42.0, 171733.0)	(43.0, 174249.0)	(44.0, 177099.0)	(45.0, 180467.0)	(46.0, 183795.0)	(47.0, 185841.5)	(48.0, 186612.0)	(49.0, 187016.0)	(50.0, 184897.0)	(51.0, 181351.0)	(52.0, 177403.0)	(53.0, 171484.0)	(54.0, 164386.0)	(55.0, 156078.5)	(56.0, 148407.0)	(57.0, 141636.5)	(58.0, 135322.5)	(59.0, 132698.0)	(60.0, 124695.5)	(61.0, 111921.0)	(62.0, 109240.5)	(63.0, 123696.5)	(64.0, 121229.5)	(65.0, 92773.5)	(66.0, 81147.5)	(67.0, 92166.5)	(68.0, 100538.5)	(69.0, 98517.0)	(70.0, 92581.5)	(71.0, 93624.5)	(72.0, 82363.5)	(73.0, 66715.0)	(74.0, 72402.5)	(75.0, 77128.5)	(76.0, 60429.0)	(77.0, 34805.5)	(78.0, 19096.0)	(79.0, 10206.5)	(80.0, 7327.0)	(81.0, 5033.0)	(82.0, 3685.0)	(83.0, 2839.0)	(84.0, 1943.0)	(85.0, 2018.5)	(86.0, 1638.0)	(87.0, 956.5)	(88.0, 783.5)	(89.0, 703.0)	(90.0, 582.5)	(91.0, 467.5)	(92.0, 374.5)	(93.0, 317.5)	(94.0, 327.5)	(95.0, 352.0)	(96.0, 389.5)	(97.0, 466.5)	(98.0, 607.5)	(99.0, 967.0)	(100.0, 3788.0)
2CLCmesc_0-0-3_S15_1	(0.0, 2847.0)	(1.0, 2730.5)	(2.0, 2884.0)	(3.0, 4594.5)	(4.0, 17311.0)	(5.0, 54494.0)	(6.0, 110705.5)	(7.0, 155727.5)	(8.0, 162506.5)	(9.0, 131841.5)	(10.0, 85614.0)	(11.0, 44752.0)	(12.0, 24454.0)	(13.0, 21229.5)	(14.0, 21364.5)	(15.0, 22504.5)	(16.0, 24107.5)	(17.0, 26532.0)	(18.0, 29808.5)	(19.0, 34137.0)	(20.0, 40354.5)	(21.0, 48666.5)	(22.0, 59408.5)	(23.0, 73477.0)	(24.0, 91076.5)	(25.0, 112620.5)	(26.0, 138868.0)	(27.0, 170263.0)	(28.0, 207178.5)	(29.0, 249164.0)	(30.0, 296688.5)	(31.0, 349896.0)	(32.0, 407563.5)	(33.0, 469535.0)	(34.0, 535754.5)	(35.0, 606366.0)	(36.0, 680174.5)	(37.0, 754692.5)	(38.0, 826607.0)	(39.0, 893320.0)	(40.0, 954307.0)	(41.0, 1006641.0)	(42.0, 1047189.5)	(43.0, 1072708.5)	(44.0, 1076012.0)	(45.0, 1054880.0)	(46.0, 1009290.0)	(47.0, 942126.0)	(48.0, 859103.0)	(49.0, 764880.5)	(50.0, 667245.5)	(51.0, 570055.5)	(52.0, 475897.5)	(53.0, 388481.0)	(54.0, 311893.0)	(55.0, 248588.0)	(56.0, 196596.5)	(57.0, 154024.0)	(58.0, 120247.0)	(59.0, 94079.5)	(60.0, 74201.5)	(61.0, 59529.0)	(62.0, 49438.5)	(63.0, 42963.0)	(64.0, 39218.0)	(65.0, 38235.0)	(66.0, 39312.0)	(67.0, 41788.0)	(68.0, 45756.0)	(69.0, 52858.0)	(70.0, 65510.0)	(71.0, 83722.5)	(72.0, 104343.0)	(73.0, 121012.5)	(74.0, 129587.0)	(75.0, 130136.5)	(76.0, 123165.0)	(77.0, 110524.5)	(78.0, 95775.0)	(79.0, 74931.0)	(80.0, 31176.0)	(81.0, 502.0)	(82.0, 139.0)	(83.0, 97.5)	(84.0, 108.5)	(85.0, 100.5)	(86.0, 68.5)	(87.0, 51.0)	(88.0, 50.0)	(89.0, 46.0)	(90.0, 48.5)	(91.0, 57.5)	(92.0, 57.5)	(93.0, 55.5)	(94.0, 60.5)	(95.0, 52.5)	(96.0, 42.0)	(97.0, 38.5)	(98.0, 71.5)	(99.0, 68.5)	(100.0, 16.0)
2CLCmesc_0-0-3_S15_2	(0.0, 22121.0)	(1.0, 19890.66666666583)	(2.0, 35822.166666641395)	(3.0, 40198.166666673125)	(4.0, 31281.999999958134)	(5.0, 23168.83333332075)	(6.0, 19044.50000000218)	(7.0, 15921.166666677433)	(8.0, 13001.500000005553)	(9.0, 10517.833333334536)	(10.0, 9016.33333333194)	(11.0, 7834.666666664151)	(12.0, 7248.666666664662)	(13.0, 6814.166666665045)	(14.0, 6404.333333332063)	(15.0, 6126.99999999897)	(16.0, 5949.999999999113)	(17.0, 5883.499999999167)	(18.0, 6052.6666666656965)	(19.0, 6223.666666665547)	(20.0, 6515.833333331975)	(21.0, 7101.833333331519)	(22.0, 7808.999999997611)	(23.0, 9069.666666665418)	(24.0, 11093.333333335386)	(25.0, 13999.333333340073)	(26.0, 18637.333333336595)	(27.0, 24655.16666665086)	(28.0, 32132.833333293762)	(29.0, 39553.166666667916)	(30.0, 50580.6666667406)	(31.0, 59126.00000012943)	(32.0, 70858.16666676798)	(33.0, 84913.33333325233)	(34.0, 101153.16666637473)	(35.0, 117723.99999949054)	(36.0, 134784.83333274364)	(37.0, 155790.83333329344)	(38.0, 177626.1666672048)	(39.0, 195089.5000009989)	(40.0, 209763.66666805363)	(41.0, 219107.50000162728)	(42.0, 226642.83333515428)	(43.0, 234081.83333534142)	(44.0, 241992.16666886598)	(45.0, 248438.83333569195)	(46.0, 253276.66666913472)	(47.0, 255954.83333585423)	(48.0, 257886.00000255907)	(49.0, 258081.16666921528)	(50.0, 254815.50000245924)	(51.0, 248918.16666897773)	(52.0, 246164.83333556927)	(53.0, 249255.50000231387)	(54.0, 252887.5000024145)	(55.0, 255190.83333581573)	(56.0, 257598.50000256236)	(57.0, 260156.00000265666)	(58.0, 267368.8333357967)	(59.0, 273751.00000214775)	(60.0, 289322.8333346807)	(61.0, 310186.83333357226)	(62.0, 346482.99999826273)	(63.0, 389305.49999589444)	(64.0, 417845.33332759625)	(65.0, 463572.83332494507)	(66.0, 487317.9999902096)	(67.0, 464993.3333248301)	(68.0, 398826.83332859346)	(69.0, 300789.1666674325)	(70.0, 195997.83333438728)	(71.0, 132052.4999993337)	(72.0, 92859.83333315089)	(73.0, 67056.16666681244)	(74.0, 54398.666666757585)	(75.0, 46220.66666670619)	(76.0, 42485.166666684665)	(77.0, 41682.33333334782)	(78.0, 43278.33333335903)	(79.0, 54222.83333343506)	(80.0, 88075.66666653265)	(81.0, 124774.33333266726)	(82.0, 133801.99999931958)	(83.0, 122779.16666602652)	(84.0, 64050.83333351248)	(85.0, 3014.6666666669053)	(86.0, 1039.6666666667022)	(87.0, 775.0000000000177)	(88.0, 684.6666666666746)	(89.0, 616.1666666666669)	(90.0, 601.8333333333317)	(91.0, 574.9999999999953)	(92.0, 561.6666666666608)	(93.0, 548.3333333333262)	(94.0, 530.9999999999908)	(95.0, 523.49999999999)	(96.0, 519.4999999999898)	(97.0, 664.1666666666723)	(98.0, 1358.3333333333046)	(99.0, 3531.166666667145)	(100.0, 9863.5)
