Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
24L007783_1	(14.0, 16.0)	(15.0, 531.0)	(16.0, 2901.0)	(17.0, 5983.0)	(18.0, 8777.0)	(19.0, 15356.0)	(20.0, 35589.0)	(21.0, 97937.0)	(22.0, 223724.0)	(23.0, 426983.0)	(24.0, 640100.0)	(25.0, 819305.0)	(26.0, 862294.0)	(27.0, 789818.0)	(28.0, 649261.0)	(29.0, 525276.0)	(30.0, 398488.0)	(31.0, 298277.0)	(32.0, 206820.0)	(33.0, 144200.0)	(34.0, 115193.0)	(35.0, 121685.0)	(36.0, 53442.0)	(37.0, 1859.0)															
24L007783_2	(11.0, 9.0)	(12.0, 87.0)	(13.0, 368.0)	(14.0, 645.0)	(15.0, 1039.0)	(16.0, 1688.0)	(17.0, 2894.0)	(18.0, 5547.0)	(19.0, 10454.0)	(20.0, 19802.0)	(21.0, 41513.0)	(22.0, 80330.0)	(23.0, 133300.0)	(24.0, 196112.0)	(25.0, 294862.0)	(26.0, 394933.0)	(27.0, 404724.0)	(28.0, 361199.0)	(29.0, 338923.0)	(30.0, 316227.0)	(31.0, 312092.0)	(32.0, 315789.0)	(33.0, 353262.0)	(34.0, 459179.0)	(35.0, 811384.0)	(36.0, 1510521.0)	(37.0, 76932.0)												
24L007783_3	(14.0, 4.0)	(15.0, 576.0)	(16.0, 3058.0)	(17.0, 6083.0)	(18.0, 8973.0)	(19.0, 15356.0)	(20.0, 35571.0)	(21.0, 97292.0)	(22.0, 227718.0)	(23.0, 436227.0)	(24.0, 662409.0)	(25.0, 851662.0)	(26.0, 894643.0)	(27.0, 809748.0)	(28.0, 657825.0)	(29.0, 522479.0)	(30.0, 392033.0)	(31.0, 291451.0)	(32.0, 201195.0)	(33.0, 139607.0)	(34.0, 118784.0)	(35.0, 111811.0)	(36.0, 49476.0)	(37.0, 1663.0)															
24L007783_4	(11.0, 2.0)	(12.0, 87.0)	(13.0, 338.0)	(14.0, 659.0)	(15.0, 1112.0)	(16.0, 1812.0)	(17.0, 3065.0)	(18.0, 5729.0)	(19.0, 10211.0)	(20.0, 18852.0)	(21.0, 40111.0)	(22.0, 78042.0)	(23.0, 129881.0)	(24.0, 191875.0)	(25.0, 294529.0)	(26.0, 405620.0)	(27.0, 418184.0)	(28.0, 369927.0)	(29.0, 346525.0)	(30.0, 319127.0)	(31.0, 312578.0)	(32.0, 313748.0)	(33.0, 353991.0)	(34.0, 462409.0)	(35.0, 833884.0)	(36.0, 1553893.0)	(37.0, 69453.0)												
24L007784_1	(14.0, 14.0)	(15.0, 793.0)	(16.0, 4972.0)	(17.0, 10050.0)	(18.0, 14874.0)	(19.0, 24679.0)	(20.0, 49713.0)	(21.0, 117642.0)	(22.0, 259512.0)	(23.0, 490701.0)	(24.0, 731209.0)	(25.0, 903060.0)	(26.0, 939623.0)	(27.0, 882090.0)	(28.0, 752632.0)	(29.0, 617880.0)	(30.0, 474933.0)	(31.0, 356103.0)	(32.0, 243658.0)	(33.0, 154849.0)	(34.0, 93369.0)	(35.0, 64741.0)	(36.0, 38424.0)	(37.0, 1494.0)															
24L007784_2	(11.0, 6.0)	(12.0, 167.0)	(13.0, 601.0)	(14.0, 983.0)	(15.0, 1348.0)	(16.0, 1848.0)	(17.0, 3082.0)	(18.0, 6009.0)	(19.0, 11117.0)	(20.0, 18840.0)	(21.0, 31303.0)	(22.0, 49334.0)	(23.0, 72594.0)	(24.0, 98912.0)	(25.0, 134046.0)	(26.0, 163966.0)	(27.0, 176338.0)	(28.0, 180356.0)	(29.0, 199103.0)	(30.0, 220660.0)	(31.0, 263950.0)	(32.0, 323097.0)	(33.0, 436966.0)	(34.0, 667430.0)	(35.0, 1325657.0)	(36.0, 2706116.0)	(37.0, 133186.0)												
24L007784_3	(14.0, 16.0)	(15.0, 883.0)	(16.0, 5216.0)	(17.0, 10532.0)	(18.0, 15074.0)	(19.0, 24793.0)	(20.0, 50153.0)	(21.0, 117195.0)	(22.0, 260430.0)	(23.0, 500497.0)	(24.0, 753457.0)	(25.0, 933072.0)	(26.0, 972913.0)	(27.0, 906588.0)	(28.0, 763629.0)	(29.0, 621583.0)	(30.0, 474328.0)	(31.0, 351352.0)	(32.0, 238112.0)	(33.0, 149356.0)	(34.0, 90903.0)	(35.0, 60368.0)	(36.0, 36822.0)	(37.0, 1318.0)															
24L007784_4	(11.0, 14.0)	(12.0, 149.0)	(13.0, 596.0)	(14.0, 1003.0)	(15.0, 1384.0)	(16.0, 1862.0)	(17.0, 3241.0)	(18.0, 6100.0)	(19.0, 11348.0)	(20.0, 18450.0)	(21.0, 31389.0)	(22.0, 48204.0)	(23.0, 71085.0)	(24.0, 96954.0)	(25.0, 134104.0)	(26.0, 164622.0)	(27.0, 178175.0)	(28.0, 182266.0)	(29.0, 198432.0)	(30.0, 218766.0)	(31.0, 261121.0)	(32.0, 318499.0)	(33.0, 432089.0)	(34.0, 672505.0)	(35.0, 1366057.0)	(36.0, 2798575.0)	(37.0, 121600.0)												
2CLCmesc_0-0-3_S15_1	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 104.0)	(18.0, 1896.0)	(19.0, 16411.0)	(20.0, 63199.0)	(21.0, 124237.0)	(22.0, 170457.0)	(23.0, 219717.0)	(24.0, 400844.0)	(25.0, 872303.0)	(26.0, 1780956.0)	(27.0, 2601687.0)	(28.0, 2578794.0)	(29.0, 1787561.0)	(30.0, 1254394.0)	(31.0, 981850.0)	(32.0, 913139.0)	(33.0, 889856.0)	(34.0, 926831.0)	(35.0, 1077606.0)	(36.0, 1432345.0)	(37.0, 1553038.0)	(38.0, 1311555.0)	(39.0, 1073936.0)	(40.0, 520002.0)
2CLCmesc_0-0-3_S15_2	(14.0, 19.0)	(15.0, 433.0)	(16.0, 7449.0)	(17.0, 52055.0)	(18.0, 126482.0)	(19.0, 143737.0)	(20.0, 137198.0)	(21.0, 161595.0)	(22.0, 201776.0)	(23.0, 228377.0)	(24.0, 258965.0)	(25.0, 284978.0)	(26.0, 339103.0)	(27.0, 467990.0)	(28.0, 852340.0)	(29.0, 1496465.0)	(30.0, 1508127.0)	(31.0, 973578.0)	(32.0, 786194.0)	(33.0, 767459.0)	(34.0, 809588.0)	(35.0, 888115.0)	(36.0, 1069396.0)	(37.0, 1303753.0)	(38.0, 1820339.0)	(39.0, 7115906.0)	(40.0, 751307.0)												
