Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
24L007779_1	(1.0, 96.13586735728609)	(2.0, 1.781482491611081)	(3.0, 0.35538910662347195)	(4.0, 0.14836387876118712)	(5.0, 0.0801574297490612)	(6.0, 0.06732282454133293)	(7.0, 0.05332357910011507)	(8.0, 0.04329708394754595)	(9.0, 0.035235264660357035)	('>10', 0.45319798174403636)	('>50', 0.15259279441929172)	('>100', 0.28674751535796184)	('>500', 0.09293252946207815)	('>1k', 0.24514431551172292)	('>5k', 0.06894584722468276)	('>10k+', 0.0)
24L007779_2	(1.0, 64.87640484325777)	(2.0, 5.223920683656484)	(3.0, 1.721169520614824)	(4.0, 1.007462607324791)	(5.0, 0.7224990413032506)	(6.0, 0.6201519541940499)	(7.0, 0.4739313214404625)	(8.0, 0.4157931036752679)	(9.0, 0.3481024610903937)	('>10', 5.290309735883498)	('>50', 2.1695418092808265)	('>100', 5.239577708593044)	('>500', 2.2885041357680254)	('>1k', 4.960645963061463)	('>5k', 1.5449372396778265)	('>10k+', 3.0970478711780487)
24L007779_3	(1.0, 95.90712835271385)	(2.0, 1.9709474741146285)	(3.0, 0.37457617714426283)	(4.0, 0.17969278624624554)	(5.0, 0.12076271948506831)	(6.0, 0.07140937126552123)	(7.0, 0.050248194255787706)	(8.0, 0.0453565726650284)	(9.0, 0.03212242960064238)	('>10', 0.44988684226827114)	('>50', 0.1550593589223054)	('>100', 0.26988643462627304)	('>500', 0.15005673011267046)	('>1k', 0.15852371738890894)	('>5k', 0.06434283919045349)	('>10k+', 0.0)
24L007779_4	(1.0, 65.61046337596335)	(2.0, 5.2303827197053865)	(3.0, 1.7695147313537753)	(4.0, 0.9959198430400775)	(5.0, 0.7386653216941399)	(6.0, 0.5798516049168485)	(7.0, 0.5073675550643089)	(8.0, 0.4022618086918714)	(9.0, 0.4003346458363753)	('>10', 5.141863049201548)	('>50', 2.250971875281584)	('>100', 5.04948338763073)	('>500', 2.2583208844975355)	('>1k', 4.68619867735162)	('>5k', 1.4219190510798099)	('>10k+', 2.9564814686910728)
24L007781_1	(1.0, 94.94572098791629)	(2.0, 2.024835474861962)	(3.0, 0.6521085509122859)	(4.0, 0.389732095695372)	(5.0, 0.23827405344120653)	(6.0, 0.1792459265434337)	(7.0, 0.16072413384888984)	(8.0, 0.11503225227644022)	(9.0, 0.09485780812500942)	('>10', 0.5633029114401887)	('>50', 0.1257746232598507)	('>100', 0.2553943614491306)	('>500', 0.0687207156627509)	('>1k', 0.18627610456722432)	('>5k', 0.0)	('>10k+', 0.0)
24L007781_2	(1.0, 69.28503952236767)	(2.0, 4.8574359742551545)	(3.0, 1.7386629202826385)	(4.0, 1.0238808242075226)	(5.0, 0.7396516694546048)	(6.0, 0.5754653251310988)	(7.0, 0.49646245235065156)	(8.0, 0.46037815569727486)	(9.0, 0.3499165731688799)	('>10', 5.544289744093186)	('>50', 2.3353266879313055)	('>100', 4.572115158175799)	('>500', 1.6650649132108002)	('>1k', 3.2337471623487137)	('>5k', 1.2916251869010142)	('>10k+', 1.8309377304236916)
24L007781_3	(1.0, 94.79221838877027)	(2.0, 2.1637806191375404)	(3.0, 0.7066780436836242)	(4.0, 0.3877977280217153)	(5.0, 0.2566398419787723)	(6.0, 0.17413439593745522)	(7.0, 0.1462955590587283)	(8.0, 0.12019959286349152)	(9.0, 0.09379609956259623)	('>10', 0.5780095290652042)	('>50', 0.12991512546564693)	('>100', 0.24007935993666973)	('>500', 0.09061175328347175)	('>1k', 0.11984396323461857)	('>5k', 0.0)	('>10k+', 0.0)
24L007781_4	(1.0, 69.85623465390654)	(2.0, 4.948510937996862)	(3.0, 1.6938824600640694)	(4.0, 1.0227804567848173)	(5.0, 0.7457726941714694)	(6.0, 0.5896778440138081)	(7.0, 0.490088266102624)	(8.0, 0.45000206482596633)	(9.0, 0.39357558337392445)	('>10', 5.500431109827748)	('>50', 2.281256425265079)	('>100', 4.385083288204489)	('>500', 1.6113231433303268)	('>1k', 3.0320556286875964)	('>5k', 1.247572033908733)	('>10k+', 1.7517534095359908)
24L007783_1	(1.0, 94.35304031237163)	(2.0, 2.7612091519257906)	(3.0, 0.9549575335463578)	(4.0, 0.48989739532458954)	(5.0, 0.24738640059058783)	(6.0, 0.14276689475822618)	(7.0, 0.08966592856916354)	(8.0, 0.05253763281589033)	(9.0, 0.04871029423720636)	('>10', 0.32584803219235287)	('>50', 0.08205134009286127)	('>100', 0.19138126948907666)	('>500', 0.09615585314961453)	('>1k', 0.16439196093665198)	('>5k', 0.0)	('>10k+', 0.0)
24L007783_2	(1.0, 62.99766842238414)	(2.0, 4.9232451580588465)	(3.0, 1.761378632336345)	(4.0, 1.0931935308781993)	(5.0, 0.7701560011453735)	(6.0, 0.6254906079721005)	(7.0, 0.5326026438528836)	(8.0, 0.4571273758939941)	(9.0, 0.41993141895201175)	('>10', 6.56799963406012)	('>50', 2.880344401350612)	('>100', 5.567190352898333)	('>500', 2.191878280289624)	('>1k', 3.8047134534760136)	('>5k', 1.872840819934932)	('>10k+', 3.5342392665165754)
