Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
24L007779_S1_L001_1	24L007779_S1_L001_1.gz	Conventional base calls	Sanger / Illumina 1.9	9536268.0	1.4 Gbp	0.0	137-151	45.0	97.25470577283787	150.8089927841793	151	pass	pass	fail	warn	fail	pass	pass	warn	pass	pass	fail
24L007779_S1_L001_2	24L007779_S1_L001_2.gz	Conventional base calls	Sanger / Illumina 1.9	9536268.0	1.4 Gbp	0.0	134-151	49.0	69.05423881693342	150.7858986345602	151	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	fail
24L007779_S1_L002_1	24L007779_S1_L002_1.gz	Conventional base calls	Sanger / Illumina 1.9	9675770.0	1.4 Gbp	0.0	138-151	44.0	97.14281764329552	150.80957835913836	151	pass	pass	warn	warn	fail	pass	pass	warn	pass	pass	fail
24L007779_S1_L002_2	24L007779_S1_L002_2.gz	Conventional base calls	Sanger / Illumina 1.9	9675770.0	1.4 Gbp	0.0	138-151	49.0	69.80130643853629	150.78659104133314	151	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	fail
24L007780_S2_L001_1	24L007780_S2_L001_1.gz	Conventional base calls	Sanger / Illumina 1.9	8703095.0	1.3 Gbp	0.0	135-151	39.0	96.16686025662867	150.80043352393602	151	pass	pass	fail	warn	fail	warn	pass	warn	pass	pass	fail
24L007780_S2_L001_2	24L007780_S2_L001_2.gz	Conventional base calls	Sanger / Illumina 1.9	8703095.0	1.3 Gbp	0.0	137-151	45.0	69.0808177778157	150.77286034450964	151	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	fail
24L007780_S2_L002_1	24L007780_S2_L002_1.gz	Conventional base calls	Sanger / Illumina 1.9	8887528.0	1.3 Gbp	0.0	101-151	39.0	96.01915290869444	150.4493667980568	150	pass	pass	warn	warn	fail	warn	pass	warn	pass	pass	fail
24L007780_S2_L002_2	24L007780_S2_L002_2.gz	Conventional base calls	Sanger / Illumina 1.9	8887528.0	1.3 Gbp	0.0	138-151	45.0	69.6234531249421	150.77326653710682	151	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	fail
24L007781_S3_L001_1	24L007781_S3_L001_1.gz	Conventional base calls	Sanger / Illumina 1.9	8586211.0	1.2 Gbp	0.0	138-151	42.0	96.43754204458726	150.81275267984913	151	pass	pass	fail	warn	fail	warn	pass	warn	pass	pass	fail
24L007781_S3_L001_2	24L007781_S3_L001_2.gz	Conventional base calls	Sanger / Illumina 1.9	8586211.0	1.2 Gbp	0.0	137-151	47.0	73.30534374213049	150.78036924552634	151	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	fail
24L007781_S3_L002_1	24L007781_S3_L002_1.gz	Conventional base calls	Sanger / Illumina 1.9	8719671.0	1.3 Gbp	0.0	137-151	42.0	96.37228807801995	150.8132293064727	151	pass	pass	warn	warn	fail	warn	pass	warn	pass	pass	fail
24L007781_S3_L002_2	24L007781_S3_L002_2.gz	Conventional base calls	Sanger / Illumina 1.9	8719671.0	1.3 Gbp	0.0	137-151	47.0	73.91073953763734	150.78144932303064	151	pass	pass	warn	pass	fail	fail	pass	warn	pass	warn	fail
24L007782_S4_L001_1	24L007782_S4_L001_1.gz	Conventional base calls	Sanger / Illumina 1.9	11383381.0	1.7 Gbp	0.0	137-151	41.0	96.5974673186323	150.75315356658976	151	pass	pass	fail	warn	fail	pass	pass	warn	pass	warn	fail
24L007782_S4_L001_2	24L007782_S4_L001_2.gz	Conventional base calls	Sanger / Illumina 1.9	11383381.0	1.7 Gbp	0.0	136-151	47.0	63.34304305651144	150.75280384623866	151	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	fail
24L007782_S4_L002_1	24L007782_S4_L002_1.gz	Conventional base calls	Sanger / Illumina 1.9	11591904.0	1.7 Gbp	0.0	138-151	41.0	96.55888300133827	150.75390867626234	151	pass	pass	warn	warn	fail	pass	pass	warn	pass	warn	fail
24L007782_S4_L002_2	24L007782_S4_L002_2.gz	Conventional base calls	Sanger / Illumina 1.9	11591904.0	1.7 Gbp	0.0	136-151	47.0	64.05079543120769	150.75287355726894	151	pass	pass	warn	pass	fail	fail	pass	warn	warn	fail	fail
24L007783_S5_L001_1	24L007783_S5_L001_1.gz	Conventional base calls	Sanger / Illumina 1.9	6443815.0	971.6 Mbp	0.0	139-151	39.0	96.29405081904633	150.79534825254916	151	pass	pass	fail	warn	fail	warn	pass	warn	pass	pass	fail
24L007783_S5_L001_2	24L007783_S5_L001_2.gz	Conventional base calls	Sanger / Illumina 1.9	6443815.0	971.6 Mbp	0.0	138-151	45.0	67.1634030608512	150.78151172868868	151	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	fail
