Sample	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
24L007783	12.979458999999999	5.841468	45.01	4.834788	37.25	1.00668						
24L007783_1							3.7059491809536667	39.0	150.79534825254916	151	27.27272727272727	6.443815
24L007783_2							32.836596939148805	45.0	150.78151172868868	151	27.27272727272727	6.443815
24L007783_3							3.735299019338484	39.0	150.79576886378757	151	18.181818181818183	6.535644
24L007783_4							31.959246436234807	45.0	150.78154057962766	151	27.27272727272727	6.535644
24L007784	14.565605	10.609167	72.83999999999999	9.513627	65.32	1.09554						
24L007784_1							3.741013699701	35.0	150.72180215483155	151	18.181818181818183	7.227015
24L007784_2							29.737589266514874	45.0	150.65142607286688	151	18.181818181818183	7.227015
24L007784_3							3.9394098813160667	35.0	150.72208612281105	151	9.090909090909092	7.33859
24L007784_4							29.107684912873736	45.0	150.65178024661412	151	18.181818181818183	7.33859
2CLCmesc_0-0-3_S15	22.552723999999998	8.903122	39.480000000000004	7.740266	34.32	1.162856						
2CLCmesc_0-0-3_S15_1							8.39798593668749	42.0	100.38193142433704	100	36.36363636363637	22.552723999999998
2CLCmesc_0-0-3_S15_2							32.557149247992356	54.0	200.75836267051378	201	36.36363636363637	22.552723999999998
2CLCmesc_0-0-4_S16	17.174775	8.741416	50.9	7.408606	43.14	1.33281						
2CLCmesc_0-0-4_S16_1							2.756022914827554	41.0	100.35129982779978	100	18.181818181818183	17.174775
2CLCmesc_0-0-4_S16_2							34.687332851000036	53.0	200.7678117471699	201	36.36363636363637	17.174775
2CLCmesc_003_RR_S3	11.246917999999999	7.846901	69.77	5.253381	46.71	2.59352						
2CLCmesc_003_RR_S3_1							3.115616026243302	43.0	100.33243551700119	100	18.181818181818183	11.246917999999999
2CLCmesc_003_RR_S3_2							70.74326926767726	52.0	200.62706930022964	201	45.45454545454545	11.246917999999999
2CLCmesc_004_RR_S4	11.868791	9.234453	77.8	6.34169	53.43	2.892763						
2CLCmesc_004_RR_S4_1							1.8027660841138982	43.0	100.33020090251821	100	18.181818181818183	11.868791
2CLCmesc_004_RR_S4_2							72.43950085435604	52.0	200.61620294771387	201	45.45454545454545	11.868791
2CLCmesc_1_RR_S9	3.4649669999999997	2.346381	67.72	1.684952	48.63	0.6614289999999999						
2CLCmesc_1_RR_S9_1							2.0919071351577685	43.0	100.45215813022173	101	18.181818181818183	3.4649669999999997
2CLCmesc_1_RR_S9_2							65.50095150835494	53.0	200.61899059933327	201	45.45454545454545	3.4649669999999997
2CLCmesc_1_S1	13.879748	2.8882399999999997	20.81	2.543827	18.33	0.34441299999999997						
2CLCmesc_1_S1_1							3.8252291933982576	42.0	100.3879746231704	100	36.36363636363637	13.879748
2CLCmesc_1_S1_2							29.187426591797745	58.0	200.86241789116056	201	36.36363636363637	13.879748
2CLCmesc_2_RR_S10	8.341701	5.338508	64.0	3.793691	45.48	1.5448169999999999						
2CLCmesc_2_RR_S10_1							2.5640202011591384	43.0	100.4655091329694	101	18.181818181818183	8.341701
2CLCmesc_2_RR_S10_2							67.56453956462622	53.0	200.6340957317938	201	45.45454545454545	8.341701
2CLCmesc_2_S2	11.291236	1.83599	16.26	1.542644	13.66	0.293346						
2CLCmesc_2_S2_1							3.437455398369508	43.0	100.38257777979311	100	36.36363636363637	11.291236
2CLCmesc_2_S2_2							26.395353510021366	59.0	200.88391572012134	201	36.36363636363637	11.291236
2CLCmesc_3_RR_S11	13.206462	9.682079	73.32000000000001	7.21444	54.63	2.4676389999999997						
2CLCmesc_3_RR_S11_1							3.455075007672221	42.0	100.34475917925634	100	18.181818181818183	13.206462
2CLCmesc_3_RR_S11_2							53.669691214459085	52.0	200.62689325876983	201	36.36363636363637	13.206462
2CLCmesc_3_S5	20.551679999999998	12.537689	61.0	10.964616999999999	53.35	1.573072						
2CLCmesc_3_S5_1							4.477262290884525	38.0	100.35080411917663	100	27.27272727272727	20.551679999999998
2CLCmesc_3_S5_2							27.423919131756207	48.0	200.67854632808607	201	36.36363636363637	20.551679999999998
2CLCmesc_4_RR_S12	12.019846999999999	5.897164	49.06	4.555606	37.9	1.341558						
2CLCmesc_4_RR_S12_1							8.053305958735109	42.0	100.3880479926242	100	27.27272727272727	12.019846999999999
2CLCmesc_4_RR_S12_2							35.34015271121926	56.0	200.75185948706334	201	45.45454545454545	12.019846999999999
2CLCmesc_4_S6	15.919877	9.445895	59.33	8.152638	51.21	1.2932569999999999						
2CLCmesc_4_S6_1							9.53118269483177	36.0	100.35767829738886	100	27.27272727272727	15.919877
2CLCmesc_4_S6_2							34.170456422698436	46.0	200.69346452865182	201	45.45454545454545	15.919877
2CLCmesc_5_RR_S13	6.7071179999999995	5.067157	75.55	4.036446	60.18	1.030711						
2CLCmesc_5_RR_S13_1							4.093286343457365	38.0	100.33743241135761	100	18.181818181818183	6.7071179999999995
2CLCmesc_5_RR_S13_2							43.094639542228265	48.0	200.61705907067685	201	36.36363636363637	6.7071179999999995
2CLCmesc_5_S7	16.94044	12.970968	76.57	11.245171	66.38	1.725797						
2CLCmesc_5_S7_1							5.18708491287957	34.0	100.32781120207031	100	18.181818181818183	16.94044
2CLCmesc_5_S7_2							39.43072926034821	43.0	200.61598878187343	201	36.36363636363637	16.94044
2CLCmesc_6_RR_S14	5.396795	1.95345	36.2	1.51277	28.03	0.44067999999999996						
2CLCmesc_6_RR_S14_1							15.193185838855726	37.0	100.4056117566074	100	45.45454545454545	5.396795
2CLCmesc_6_RR_S14_2							35.99765797104453	49.0	200.80464497910333	201	45.45454545454545	5.396795
2CLCmesc_6_S8	9.310927	3.825113	41.08	3.198369	34.35	0.626744						
2CLCmesc_6_S8_1							16.181602636167852	35.0	100.39251875779931	100	45.45454545454545	9.310927
2CLCmesc_6_S8_2							33.660364704419436	48.0	200.79291578593623	201	45.45454545454545	9.310927
combined_003	33.799642	16.750023	49.55	12.993647	38.44	3.756376						
combined_003_1							8.39798593668749	42.0	100.38193142433704	100	36.36363636363637	22.552723999999998
combined_003_2							32.557149247992356	54.0	200.75836267051378	201	36.36363636363637	22.552723999999998
combined_003_3							3.115616026243302	43.0	100.33243551700119	100	18.181818181818183	11.246917999999999
combined_003_4							70.74326926767726	52.0	200.62706930022964	201	45.45454545454545	11.246917999999999
combined_004	29.043566	17.975869	61.89	13.750295999999999	47.34	4.225573						
combined_004_1							2.756022914827554	41.0	100.35129982779978	100	18.181818181818183	17.174775
combined_004_2							34.687332851000036	53.0	200.7678117471699	201	36.36363636363637	17.174775
combined_004_3							1.8027660841138982	43.0	100.33020090251821	100	18.181818181818183	11.868791
combined_004_4							72.43950085435604	52.0	200.61620294771387	201	45.45454545454545	11.868791
combined_1	17.344715	5.234621	30.18	4.228778999999999	24.38	1.005842						
combined_1_1							3.8252291933982576	42.0	100.3879746231704	100	36.36363636363637	13.879748
combined_1_2							29.187426591797745	58.0	200.86241789116056	201	36.36363636363637	13.879748
combined_1_3							2.0919071351577685	43.0	100.45215813022173	101	18.181818181818183	3.4649669999999997
combined_1_4							65.50095150835494	53.0	200.61899059933327	201	45.45454545454545	3.4649669999999997
combined_2	19.632937	7.174498	36.54	5.336335	27.18	1.838163						
combined_2_1							3.437455398369508	43.0	100.38257777979311	100	36.36363636363637	11.291236
combined_2_2							26.395353510021366	59.0	200.88391572012134	201	36.36363636363637	11.291236
combined_2_3							2.5640202011591384	43.0	100.4655091329694	101	18.181818181818183	8.341701
combined_2_4							67.56453956462622	53.0	200.6340957317938	201	45.45454545454545	8.341701
combined_3	33.758142	22.219768	65.82000000000001	18.179057	53.85	4.040711						
combined_3_1							4.477262290884525	38.0	100.35080411917663	100	27.27272727272727	20.551679999999998
combined_3_2							27.423919131756207	48.0	200.67854632808607	201	36.36363636363637	20.551679999999998
combined_3_3							3.455075007672221	42.0	100.34475917925634	100	18.181818181818183	13.206462
combined_3_4							53.669691214459085	52.0	200.62689325876983	201	36.36363636363637	13.206462
combined_4	27.939724	15.343058999999998	54.91	12.708243999999999	45.48	2.6348149999999997						
combined_4_1							9.53118269483177	36.0	100.35767829738886	100	27.27272727272727	15.919877
combined_4_2							34.170456422698436	46.0	200.69346452865182	201	45.45454545454545	15.919877
combined_4_3							8.053305958735109	42.0	100.3880479926242	100	27.27272727272727	12.019846999999999
combined_4_4							35.34015271121926	56.0	200.75185948706334	201	45.45454545454545	12.019846999999999
combined_5	23.647558	18.038125	76.28	15.281616999999999	64.62	2.7565079999999997						
combined_5_1							5.18708491287957	34.0	100.32781120207031	100	18.181818181818183	16.94044
combined_5_2							39.43072926034821	43.0	200.61598878187343	201	36.36363636363637	16.94044
combined_5_3							4.093286343457365	38.0	100.33743241135761	100	18.181818181818183	6.7071179999999995
combined_5_4							43.094639542228265	48.0	200.61705907067685	201	36.36363636363637	6.7071179999999995
combined_6	14.707721999999999	5.778563	39.29	4.711139	32.03	1.067424						
combined_6_1							16.181602636167852	35.0	100.39251875779931	100	45.45454545454545	9.310927
combined_6_2							33.660364704419436	48.0	200.79291578593623	201	45.45454545454545	9.310927
combined_6_3							15.193185838855726	37.0	100.4056117566074	100	45.45454545454545	5.396795
combined_6_4							35.99765797104453	49.0	200.80464497910333	201	45.45454545454545	5.396795
