Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
24L007779_S1_L001	9536268.0	150.0	3106393.0	32.57	140.66	751346.0	699168.0	709191.0	11064.0	924.0	30167.0	0.81	0.08	3.42	0.05	1.31	836004.0	8.77	56210.0	0.59	0.0	57.71	0.36	0	5503331	34330	41.34	3942397.0
24L007779_S1_L002	9675770.0	150.0	3142692.0	32.48	140.68	758554.0	705789.0	716388.0	10982.0	937.0	30247.0	0.9	0.08	3.41	0.04	1.31	852618.0	8.81	54676.0	0.57	0.0	57.8	0.34	0	5592885	32899	41.29	3995310.0
24L007780_S2_L001	8703095.0	150.0	3309476.0	38.03	141.26	909574.0	859471.0	867644.0	11673.0	1052.0	29205.0	0.76	0.08	3.24	0.05	1.35	756225.0	8.69	171955.0	1.98	0.0	50.88	0.43	0	4428017	37422	46.72	4065701.0
24L007780_S2_L002	8887528.0	150.0	3364992.0	37.86	141.31	926476.0	875489.0	884125.0	11593.0	1098.0	29660.0	0.85	0.08	3.25	0.05	1.34	771437.0	8.68	163457.0	1.84	0.0	51.22	0.4	0	4552093	35549	46.54	4136429.0
24L007781_S3_L001	8586211.0	150.0	3180648.0	37.04	141.78	879547.0	832822.0	840362.0	11695.0	1034.0	26456.0	0.76	0.08	3.44	0.05	1.3	691219.0	8.05	95028.0	1.11	0.0	53.48	0.32	0	4591841	27475	45.09	3871867.0
24L007781_S3_L002	8719671.0	150.0	3219814.0	36.93	141.78	888825.0	841737.0	849329.0	11750.0	1102.0	26644.0	0.86	0.08	3.43	0.05	1.3	702132.0	8.05	90448.0	1.04	0.0	53.69	0.3	0	4681121	26156	44.980000000000004	3921946.0
24L007782_S4_L001	11383381.0	150.0	4602011.0	40.43	139.42	909944.0	824639.0	843310.0	13803.0	1160.0	51671.0	0.85	0.09	3.2	0.06	1.26	900644.0	7.91	117081.0	1.03	0.0	50.02	0.61	0	5694203	69442	48.34	5502655.0
24L007782_S4_L002	11591904.0	150.0	4674893.0	40.33	139.46	924755.0	839360.0	857896.0	13767.0	1175.0	51917.0	0.94	0.09	3.17	0.06	1.26	922822.0	7.96	113747.0	0.98	0.0	50.16	0.57	0	5814370	66072	48.29	5597715.0
24L007783_S5_L001	6443815.0	150.0	2403624.0	37.3	139.52	471485.0	426832.0	436907.0	6999.0	570.0	27009.0	0.89	0.1	3.08	0.08	1.19	498540.0	7.74	167574.0	2.6	0.0	51.62	0.74	0	3326391	47686	45.04	2902164.0
24L007783_S5_L002	6535644.0	150.0	2431164.0	37.2	139.57	477768.0	433144.0	443165.0	6967.0	590.0	27046.0	0.98	0.09	3.06	0.07	1.19	508140.0	7.77	158784.0	2.43	0.0	51.91	0.68	0	3393108	44448	44.97	2939304.0
