Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
24L007779_S1_L001	3106393.0	836004.0	56210.0	5503331.0	34330.0
24L007779_S1_L002	3142692.0	852618.0	54676.0	5592885.0	32899.0
24L007780_S2_L001	3309476.0	756225.0	171955.0	4428017.0	37422.0
24L007780_S2_L002	3364992.0	771437.0	163457.0	4552093.0	35549.0
24L007781_S3_L001	3180648.0	691219.0	95028.0	4591841.0	27475.0
24L007781_S3_L002	3219814.0	702132.0	90448.0	4681121.0	26156.0
24L007782_S4_L001	4602011.0	900644.0	117081.0	5694203.0	69442.0
24L007782_S4_L002	4674893.0	922822.0	113747.0	5814370.0	66072.0
24L007783_S5_L001	2403624.0	498540.0	167574.0	3326391.0	47686.0
24L007783_S5_L002	2431164.0	508140.0	158784.0	3393108.0	44448.0
24L007784_S6_L001	4723365.0	542674.0	175223.0	1754678.0	31075.0
24L007784_S6_L002	4790262.0	552866.0	167008.0	1799093.0	29361.0
2CLCmesc_0-0-3_S15	7740266.0	1162856.0	72317.0	13286343.0	290942.0
2CLCmesc_0-0-4_S16	7408606.0	1332810.0	71536.0	8243325.0	118498.0
2CLCmesc_003_RR_S3	5253381.0	2593520.0	7152.0	3380495.0	12370.0
2CLCmesc_004_RR_S4	6341690.0	2892763.0	13873.0	2599103.0	21362.0
2CLCmesc_011_RR_S18	6500597.0	2816163.0	15914.0	3251021.0	36599.0
2CLCmesc_016_RR_S17	4285780.0	1959759.0	11608.0	3660793.0	29843.0
2CLCmesc_1_RR_S9	1684952.0	661429.0	4098.0	1103052.0	11436.0
2CLCmesc_1_S1	2543827.0	344413.0	33155.0	10882012.0	76341.0
2CLCmesc_2_RR_S10	3793691.0	1544817.0	8836.0	2969335.0	25022.0
2CLCmesc_2_S2	1542644.0	293346.0	22290.0	9373111.0	59845.0
2CLCmesc_3_RR_S11	7214440.0	2467639.0	32671.0	3423040.0	68672.0
2CLCmesc_3_S5	10964617.0	1573072.0	111995.0	7696482.0	205514.0
2CLCmesc_4_RR_S12	4555606.0	1341558.0	23945.0	5944887.0	153851.0
2CLCmesc_4_S6	8152638.0	1293257.0	75058.0	5876693.0	522231.0
2CLCmesc_5_RR_S13	4036446.0	1030711.0	25107.0	1543768.0	71086.0
2CLCmesc_5_S7	11245171.0	1725797.0	99016.0	3575596.0	294860.0
2CLCmesc_6_RR_S14	1512770.0	440680.0	19564.0	2935903.0	487878.0
2CLCmesc_6_S8	3198369.0	626744.0	42077.0	4745344.0	698393.0
combined_003	12993647.0	3756376.0	79469.0	16665965.0	304185.0
combined_004	13750296.0	4225573.0	85409.0	10842867.0	139421.0
combined_1	4228779.0	1005842.0	37253.0	11984389.0	88452.0
combined_2	5336335.0	1838163.0	31126.0	12342894.0	84419.0
combined_3	18179057.0	4040711.0	144666.0	11120259.0	273449.0
combined_4	12708244.0	2634815.0	99003.0	11821509.0	676153.0
combined_5	15281617.0	2756508.0	124123.0	5118835.0	366475.0
combined_6	4711139.0	1067424.0	61641.0	7680574.0	1186944.0
