Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
24L007779_S1_L001	9.536268	41.879999999999995	31.27	1.011395	150.0	141.4	0.752255	0.699168	0.7091459999999999	0.01113	0.0009239999999999999	0.031055	0.79	0.09	3.4	0.03	1.65
24L007779_S1_L002	9.67577	41.83	31.22	1.026789	150.0	141.4	0.7595419999999999	0.705788	0.7163609999999999	0.011025	0.0009299999999999999	0.031226	0.89	0.08	3.38	0.03	1.65
24L007780_S2_L001	8.703095	47.23	37.51	0.845918	150.0	141.59	0.9103469999999999	0.859472	0.8676929999999999	0.011663999999999999	0.001054	0.029935999999999997	0.75	0.08	3.19	0.04	1.42
24L007780_S2_L002	8.887528	47.05	37.37	0.8607429999999999	150.0	141.62	0.9273429999999999	0.87549	0.884103	0.011623999999999999	0.001104	0.030511999999999997	0.83	0.08	3.2	0.04	1.41
24L007781_S3_L001	8.586211	45.7	36.47	0.7924629999999999	150.0	142.09	0.8808729999999999	0.8328209999999999	0.840418	0.011738	0.001037	0.02768	0.74	0.08	3.36	0.04	1.46
24L007781_S3_L002	8.719671	45.58	36.38	0.8021389999999999	150.0	142.08	0.890269	0.841735	0.849429	0.011797	0.0011049999999999999	0.027937999999999998	0.84	0.08	3.36	0.04	1.45
24L007782_S4_L001	11.383381	49.66	39.25	1.185139	150.0	139.9	0.910138	0.824641	0.843256	0.01397	0.0011589999999999999	0.051753	0.8	0.09	3.11	0.03	1.59
24L007782_S4_L002	11.591904	49.6	39.21	1.203882	150.0	139.92	0.925079	0.83936	0.857846	0.013930999999999999	0.0011769999999999999	0.052125	0.89	0.09	3.08	0.03	1.59
24L007783_S5_L001	6.443815	46.03	35.76	0.6615099999999999	150.0	140.2	0.471176	0.42683099999999996	0.436813	0.007052	0.00057	0.026740999999999997	0.85	0.1	3.01	0.04	1.42
24L007783_S5_L002	6.535644	45.96	35.71	0.6697259999999999	150.0	140.22	0.477678	0.433144	0.443094	0.00703	0.000593	0.026961	0.94	0.09	2.98	0.04	1.42
